,CAS,灭火注意事项及措施
2042,581-64-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2043,581-64-6,尽可能将容器从火场移至空旷处
2044,581-64-6,喷水保持火场容器冷却，直至灭火结束
2045,581-89-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2046,581-89-5,可能的话将容器从火场移至空旷处
2047,581-89-5,喷水冷却容器，直至灭火结束
2048,583-15-3,可用水、沙土、泡沫灭火
2049,584-84-9,可用沙土、干粉、二氧化碳灭火
2050,584-94-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2051,584-94-1,喷水冷却容器，可能的话将容器从火场移至空旷处
2052,584-94-1,容器突然发出异常声音或出现异常现象，应立即撤离
2053,586-78-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2054,586-78-7,尽可能将容器从火场移至空旷处
2055,586-78-7,喷水保持火场容器冷却，直至灭火结束
2056,587-85-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2057,587-85-9,尽可能将容器从火场移至空旷处
2058,587-85-9,喷水保持火场容器冷却，直至灭火结束
2059,589-38-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2060,589-38-8,喷水冷却容器，可能的话将容器从火场移至空旷处
2061,589-38-8,容器突然发出异常声音或出现异常现象，应立即撤离
2062,589-43-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2063,589-43-5,喷水冷却容器，可能的话将容器从火场移至空旷处
2064,589-43-5,容器突然发出异常声音或出现异常现象，应立即撤离
2065,590-01-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2066,590-01-2,喷水冷却容器，可能的话将容器从火场移至空旷处
2067,590-01-2,容器突然发出异常声音或出现异常现象，应立即撤离
2068,590-35-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2069,590-35-2,喷水冷却容器，可能的话将容器从火场移至空旷处
2070,590-35-2,容器突然发出异常声音或出现异常现象，应立即撤离
2071,590-66-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2072,590-66-9,喷水冷却容器，可能的话将容器从火场移至空旷处
2073,590-66-9,容器突然发出异常声音或出现异常现象，应立即撤离
2074,590-73-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2075,590-73-8,喷水冷却容器，可能的话将容器从火场移至空旷处
2076,590-73-8,容器突然发出异常声音或出现异常现象，应立即撤离
2077,590-73-8,用水灭火无效
2078,590-86-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2079,590-86-3,尽可能将容器从火场移至空旷处
2080,590-86-3,喷水保持火场容器冷却，直至灭火结束
2081,590-86-3,容器突然发出异常声音或出现异常现象，应立即撤离
2082,590-86-3,用水灭火无效
2083,591-22-0,消防人员必须佩戴防毒面具、穿全身消防服，在上风向灭火
2084,591-22-0,尽可能将容器从火场移至空旷处
2085,591-22-0,喷水保持火场容器冷却，直至灭火结束
2086,591-22-0,容器突然发出异常声音或出现异常现象，应立即撤离
2087,591-27-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2088,591-27-5,尽可能将容器从火场移至空旷处
2089,591-27-5,喷水保持火场容器冷却，直至灭火结束
2090,591-27-5,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
2091,591-76-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2092,591-76-4,尽可能将容器从火场移至空旷处
2093,591-76-4,喷水保持火场容器冷却，直至灭火结束
2094,591-76-4,容器突然发出异常声音或出现异常现象，应立即撤离
2095,591-76-4,用水灭火无效
2096,591-93-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2097,591-93-5,尽可能将容器从火场移至空旷处
2098,591-93-5,喷水保持火场容器冷却，直至灭火结束
2099,591-93-5,用水灭火无效
2100,591-93-5,容器发出异常声音或异常情况，应立即撤离
2101,592-01-8,发生火灾时应尽量抢救商品，防止包装破损，引起环境污染
2102,592-01-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2103,592-01-8,喷水保持火场容器冷却，直至灭火结束
2104,592-01-8,禁止使用酸碱灭火剂
2105,592-04-1,发生火灾时应尽量抢救商品，防止包装破损，引起环境污染
2106,592-04-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2107,592-04-1,喷水保持火场容器冷却，直至灭火结束
2108,592-04-1,禁止使用酸碱灭火剂
2109,592-34-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2110,592-34-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2111,592-34-7,容器突然发出异常声音或出现异常现象，应立即撤离
2112,592-34-7,不宜用水
2113,592-41-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2114,592-41-6,尽可能将容器从火场移至空旷处
2115,592-41-6,喷水保持火场容器冷却，直至灭火结束
2116,592-41-6,容器突然发出异常声音或出现异常现象，应立即撤离
2117,592-41-6,用水灭火无效
2118,592-42-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2119,592-42-7,尽可能将容器从火场移至空旷处
2120,592-42-7,喷水保持火场容器冷却，直至灭火结束
2121,592-42-7,容器突然发出异常声音或出现异常现象，应立即撤离
2122,592-42-7,用水灭火无效
2123,592-45-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2124,592-45-0,尽可能将容器从火场移至空旷处
2125,592-45-0,喷水保持火场容器冷却，直至灭火结束
2126,592-45-0,容器突然发出异常声音或出现异常现象，应立即撤离
2127,592-45-0,用水灭火无效
2128,592-57-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2129,592-57-4,喷水冷却容器，可能的话将容器从火场移至空旷处
2130,592-57-4,容器突然发出异常声音或出现异常现象，应立即撤离
2131,592-76-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2132,592-76-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2133,592-76-7,容器突然发出异常声音或出现异常现象，应立即撤离
2134,592-76-7,用水灭火无效
2135,592-77-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2136,592-77-8,喷水冷却容器，可能的话将容器从火场移至空旷处
2137,592-77-8,容器突然发出异常声音或出现异常现象，应立即撤离
2138,592-77-8,用水灭火无效
2139,592-78-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2140,592-78-9,喷水冷却容器，可能的话将容器从火场移至空旷处
2141,592-78-9,容器突然发出异常声音或出现异常现象，应立即撤离
2142,592-78-9,用水灭火无效
2143,592-84-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2144,592-84-7,尽可能将容器从火场移至空旷处
2145,592-84-7,喷水保持火场容器冷却，直至灭火结束
2146,592-84-7,容器突然发出异常声音或出现异常现象，应立即撤离
2147,593-53-3,切断气源
2148,593-53-3,若不能切断气源，则不允许熄灭泄漏处的火焰
2149,593-53-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2150,593-53-3,尽可能将容器从火场移至空旷处
2151,593-53-3,喷水保持火场容器冷却，直至灭火结束
2152,593-60-2,切断气源，喷水冷却容器，可能的话将容器从火场移至空旷处
2153,593-60-2,若不能切断气源，则不允许熄灭泄漏处的火焰
2154,593-60-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2155,593-60-2,容器突然发出异常声音或出现异常现象，应立即撤离
2156,594-82-1,可用沙土、二氧化碳、泡沫灭火
2157,598-16-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2158,598-16-3,尽可能将容器从火场移至空旷处
2159,598-16-3,喷水保持火场容器冷却，直至灭火结束
2160,598-16-3,容器突然发出异常声音或出现异常现象，应立即撤离
2161,598-21-0,用干沙、二氧化碳、干粉灭火
2162,598-21-0,禁止用水或泡沫灭火
2163,598-31-2,消防人员需佩戴防毒面具、穿全身消防服，在上风向灭火
2164,598-31-2,尽可能将容器从火场移至空旷处
2165,598-31-2,喷水保持火场容器冷却，直至灭火结束
2166,598-31-2,容器突然发出异常声音或出现异常现象，应立即撤离
2167,598-72-1,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2168,598-72-1,喷水冷却容器，可能的话将容器从火场移至空旷处
2169,598-72-1,容器突然发出异常声音或出现异常现象，应立即撤离
2170,598-78-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2171,598-78-7,尽可能将容器从火场移至空旷处
2172,598-78-7,喷水保持火场容器冷却，直至灭火结束
2173,598-78-7,容器突然发出异常声音或出现异常现象，应立即撤离
2174,60-29-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2175,60-29-7,尽可能将容器从火场移至空旷处
2176,60-29-7,喷水保持火场容器冷却，直至灭火结束
2177,60-29-7,容器突然发出异常声音或出现异常现象，应立即撤离
2178,60-29-7,用水灭火无效
2179,60-34-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2180,60-34-4,遇大火，消防人员须在有防护掩蔽处操作
2181,60-34-4,容器突然发出异常声音或出现异常现象，应立即撤离
2182,60-57-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2183,60-57-1,尽可能将容器从火场移至空旷处
2184,60-57-1,喷水保持火场容器冷却，直至灭火结束
2185,603-35-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2186,603-35-0,尽可能将容器从火场移至空旷处
2187,603-35-0,喷水保持火场容器冷却，直至灭火结束
2188,6032-29-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2189,6032-29-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2190,6032-29-7,容器突然发出异常声音或出现异常现象，应立即撤离
2191,605-69-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2192,605-69-6,尽可能将容器从火场移至空旷处
2193,605-69-6,喷水保持火场容器冷却，直至灭火结束
2194,605-69-6,禁止用砂土压盖
2195,605-71-0,可用水、泡沫、二氧化碳灭火
2196,605-71-0,火场须防止受热可能发生的爆炸
2197,606-22-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2198,606-22-4,尽可能将容器从火场移至空旷处
2199,606-22-4,喷水保持火场容器冷却，直至灭火结束
2200,608-27-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2201,608-27-5,尽可能将容器从火场移至空旷处
2202,608-27-5,喷水保持火场容器冷却，直至灭火结束
2203,608-31-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2204,608-31-1,尽可能将容器从火场移至空旷处
2205,608-31-1,喷水保持火场容器冷却，直至灭火结束
2206,609-73-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2207,609-73-4,尽可能将容器从火场移至空旷处
2208,609-73-4,喷水保持火场容器冷却，直至灭火结束
2209,610-57-1,可用沙土、二氧化碳灭火
2210,610-57-1,本品燃烧时放出剧毒的氮氧化物，灭火人员应注意防毒
2211,610-67-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2212,610-67-3,尽可能将容器从火场移至空旷处
2213,610-67-3,喷水保持火场容器冷却，直至灭火结束
2214,610-67-3,容器突然发出异常声音或出现异常现象，应立即撤离
2215,612-22-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2216,612-22-6,尽可能将容器从火场移至空旷处
2217,612-22-6,喷水保持火场容器冷却，直到灭火结束
2218,612-22-6,容器突然发出异常声音或出现异常现象，应立即撤离
2219,6125-21-9,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2220,6125-21-9,尽可能将容器从火场移至空旷处
2221,6125-21-9,喷水保持火场容器冷却，直至灭火结束
2222,6125-21-9,容器突然发出异常声音或出现异常现象，应立即撤离
2223,6125-21-9,禁止用砂土压盖
2224,616-38-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2225,616-38-6,尽可能将容器从火场移至空旷处
2226,616-38-6,喷水保持火场容器冷却，直至灭火结束
2227,616-38-6,容器突然发出异常声音或出现异常现象，应立即撤离
2228,6164-98-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2229,6164-98-3,尽可能将容器从火场移至空旷处
2230,6164-98-3,喷水保持火场容器冷却，直至灭火结束
2231,617-85-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2232,617-85-6,尽可能将容器从火场移至空旷处
2233,617-85-6,喷水保持火场容器冷却，直至灭火结束
2234,617-85-6,禁止用水、泡沫和酸碱灭火剂灭火
2235,618-87-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2236,618-87-1,尽可能将容器从火场移至空旷处
2237,618-87-1,喷水保持火场容器冷却，直至灭火结束
2238,619-80-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2239,619-80-7,尽可能将容器从火场移至空旷处
2240,619-80-7,喷水保持火场容器冷却，直至灭火结束
2241,62-53-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2242,62-53-3,尽可能将容器从火场移至空旷处
2243,62-53-3,喷水保持火场容器冷却，直至灭火结束
2244,62-56-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2245,62-56-6,尽可能将容器从火场移至空旷处
2246,62-56-6,喷水保持火场容器冷却，直至灭火结束
2247,62-73-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2248,62-73-7,尽可能将容器从火场移至空旷处
2249,62-73-7,喷水保持火场容器冷却，直至灭火结束
2250,622-97-9,尽可能将容器从火场移至空旷处
2251,622-97-9,喷水保持火场容器冷却，直至灭火结束
2252,622-97-9,容器突然发出异常声音或出现异常现象，应立即撤离
2253,622-97-9,遇大火，消防人员须在有防护掩蔽处操作
2254,623-42-7,消防人员需佩戴防毒面具、穿全身消防服，在上风向灭火
2255,623-42-7,尽可能将容器从火场移至空旷处
2256,623-42-7,容器突然发出异常声音或出现异常现象，应立即撤离
2257,623-42-7,用水灭火无效，但可用水保持火场中容器冷却
2258,623-96-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2259,623-96-1,喷水冷却容器，可能的话将容器从火场移至空旷处
2260,623-96-1,容器突然发出异常声音或出现异常现象，应立即撤离
2261,624-54-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2262,624-54-4,喷水冷却容器，可能的话将容器从火场移至空旷处
2263,624-54-4,容器突然发出异常声音或出现异常现象，应立即撤离
2264,624-83-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2265,624-83-9,尽可能将容器从火场移至空旷处
2266,624-83-9,容器突然发出异常声音或出现异常现象，应立即撤离
2267,624-83-9,禁止用水、泡沫和酸碱灭火剂灭火
2268,624-91-9,切断气源
2269,624-91-9,若不能切断气源，则不允许熄灭泄漏处的火焰
2270,624-91-9,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2271,624-91-9,尽可能将容器从火场移至空旷处
2272,624-91-9,喷水保持火场容器冷却，直至灭火结束
2273,625-28-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2274,625-28-5,喷水冷却容器，可能的话将容器从火场移至空旷处
2275,625-28-5,容器突然发出异常声音或出现异常现象，应立即撤离
2276,625-28-5,禁止使用酸碱灭火剂
2277,625-59-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2278,625-59-2,尽可能将容器从火场移至空旷处
2279,625-59-2,容器突然发出异常声音或出现异常现象，应立即撤离
2280,625-59-2,禁止使用酸碱灭火剂
2281,625-59-2,用水灭火无效，但可用水保持火场中容器冷却
2282,626-93-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2283,626-93-7,尽可能将容器从火场移至空旷处
2284,626-93-7,喷水保持火场容器冷却，直至灭火结束
2285,626-93-7,容器突然发出异常声音或出现异常现象，应立即撤离
2286,627-05-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2287,627-05-4,尽可能将容器从火场移至空旷处
2288,627-05-4,喷水保持火场容器冷却，直至灭火结束
2289,627-05-4,容器突然发出异常声音或出现异常现象，应立即撤离
2290,627-13-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2291,627-13-4,尽可能将容器从火场移至空旷处
2292,627-13-4,喷水保持火场容器冷却，直至灭火结束
2293,627-13-4,容器突然发出异常声音或出现异常现象，应立即撤离
2294,627-19-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2295,627-19-0,尽可能将容器从火场移至空旷处
2296,627-19-0,喷水保持火场容器冷却，直至灭火结束
2297,627-19-0,容器突然发出异常声音或出现异常现象，应立即撤离
2298,627-19-0,用水灭火无效
2299,628-17-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2300,628-17-1,喷水冷却容器，可能的话将容器从火场移至空旷处
2301,628-17-1,容器突然发出异常声音或出现异常现象，应立即撤离
2302,628-28-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2303,628-28-4,尽可能将容器从火场移至空旷处
2304,628-28-4,喷水保持火场容器冷却，直至灭火结束
2305,628-28-4,容器突然发出异常声音或出现异常现象，应立即撤离
2306,628-28-4,用水灭火无效
2307,628-32-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2308,628-32-0,尽可能将容器从火场移至空旷处
2309,628-32-0,喷水保持火场容器冷却，直至灭火结束
2310,628-32-0,容器突然发出异常声音或出现异常现象，应立即撤离
2311,628-41-1,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2312,628-41-1,喷水冷却容器，可能的话将容器从火场移至空旷处
2313,628-41-1,容器突然发出异常声音或出现异常现象，应立即撤离
2314,628-41-1,用水灭火无效
2315,628-63-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2316,628-63-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2317,628-63-7,容器突然发出异常声音或出现异常现象，应立即撤离
2318,628-71-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2319,628-71-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2320,628-71-7,容器突然发出异常声音或出现异常现象，应立即撤离
2321,628-71-7,用水灭火无效
2322,628-73-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2323,628-73-9,喷水冷却容器，可能的话将容器从火场移至空旷处
2324,628-73-9,容器突然发出异常声音或出现异常现象，应立即撤离
2325,628-73-9,禁止使用酸碱灭火剂
2326,628-76-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2327,628-76-2,喷水冷却容器，可能的话将容器从火场移至空旷处
2328,628-76-2,容器突然发出异常声音或出现异常现象，应立即撤离
2329,629-05-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2330,629-05-0,喷水冷却容器，可能的话将容器从火场移至空旷处
2331,629-05-0,容器突然发出异常声音或出现异常现象，应立即撤离
2332,629-20-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2333,629-20-9,喷水冷却容器，可能的话将容器从火场移至空旷处
2334,629-20-9,容器突然发出异常声音或出现异常现象，应立即撤离
2335,629-33-4,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2336,629-33-4,喷水冷却容器，可能的话将容器从火场移至空旷处
2337,629-33-4,容器突然发出异常声音或出现异常现象，应立即撤离
2338,630-08-0,切断气源
2339,630-08-0,若不能切断气源，则不允许熄灭泄漏处的火焰
2340,630-08-0,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2341,630-08-0,尽可能将容器从火场移至空旷处
2342,630-08-0,喷水保持火场容器冷却，直至灭火结束
2343,6303-21-5,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2344,6303-21-5,尽可能将容器从火场移至空旷处
2345,6303-21-5,喷水保持火场容器冷却，直至灭火结束
2346,634-66-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2347,634-66-2,尽可能将容器从火场移至空旷处
2348,634-66-2,喷水保持火场容器冷却，直至灭火结束
2349,634-90-2,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2350,634-90-2,尽可能将容器从火场移至空旷处
2351,634-90-2,喷水保持火场容器冷却，直至灭火结束
2352,634-93-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2353,634-93-5,尽可能将容器从火场移至空旷处
2354,634-93-5,喷水保持火场容器冷却，直至灭火结束
2355,636-30-6,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2356,636-30-6,尽可能将容器从火场移至空旷处
2357,636-30-6,喷水保持火场容器冷却，直至灭火结束
2358,638-11-9,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2359,638-11-9,喷水冷却容器，可能的话将容器从火场移至空旷处
2360,638-11-9,容器突然发出异常声音或出现异常现象，应立即撤离
2361,638-29-9,用沙土、二氧化碳、泡沫灭火
2362,638-49-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2363,638-49-3,喷水冷却容器，可能的话将容器从火场移至空旷处
2364,638-49-3,容器突然发出异常声音或出现异常现象，应立即撤离
2365,64-00-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2366,64-00-6,尽可能将容器从火场移至空旷处
2367,64-00-6,喷水保持火场容器冷却，直至灭火结束
2368,64-17-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2369,64-17-5,尽可能将容器从火场移至空旷处
2370,64-17-5,喷水保持火场容器冷却，直至灭火结束
2371,64-17-5,容器突然发出异常声音或出现异常现象，应立即撤离
2372,64-18-6,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2373,64-18-6,尽可能将容器从火场移至空旷处
2374,64-18-6,喷水保持火场容器冷却，直至灭火结束
2375,64-18-6,容器突然发出异常声音或出现异常现象，应立即撤离
2376,64-18-6,用水喷淋保护堵漏的人员
2377,64-19-7,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2378,64-19-7,尽可能将容器从火场移至空旷处
2379,64-19-7,喷水保持火场容器冷却，直至灭火结束
2380,64-19-7,容器突然发出异常声音或出现异常现象，应立即撤离
2381,64-67-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2382,64-67-5,尽可能将容器从火场移至空旷处
2383,64-67-5,喷水保持火场容器冷却，直至灭火结束
2384,64-67-5,容器突然发出异常声音或出现异常现象，应立即撤离
2385,64-69-7,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2386,64-69-7,尽可能将容器从火场移至空旷处
2387,64-69-7,喷水保持火场容器冷却，直至灭火结束
2388,64013-16-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2389,64013-16-7,尽可能将容器从火场移至空旷处
2390,64013-16-7,喷水保持火场容器冷却，直至灭火结束
2391,644-49-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2392,644-49-5,喷水冷却容器，可能的话将容器从火场移至空旷处
2393,644-49-5,容器突然发出异常声音或出现异常现象，应立即撤离
2394,646-06-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2395,646-06-0,尽可能将容器从火场移至空旷处
2396,646-06-0,容器突然发出异常声音或出现异常现象，应立即撤离
2397,6484-52-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2398,6484-52-2,尽可能将容器从火场移至空旷处
2399,6484-52-2,喷水保持火场容器冷却，直至灭火结束
2400,6484-52-2,遇大火，消防人员须在有防护掩蔽处操作
2401,6484-52-2,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
2402,67-56-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2403,67-56-1,尽可能将容器从火场移至空旷处
2404,67-56-1,喷水保持火场容器冷却，直至灭火结束
2405,67-56-1,容器突然发出异常声音或出现异常现象，应立即撤离
2406,67-63-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2407,67-63-0,尽可能将容器从火场移至空旷处
2408,67-63-0,喷水保持火场容器冷却，直至灭火结束
2409,67-63-0,容器突然发出异常声音或出现异常现象，应立即撤离
2410,67-64-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2411,67-64-1,尽可能将容器从火场移至空旷处
2412,67-64-1,喷水保持火场容器冷却，直至灭火结束
2413,67-64-1,容器突然发出异常声音或出现异常现象，应立即撤离
2414,67-66-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2415,67-66-3,尽可能将容器从火场移至空旷处
2416,67-66-3,喷水保持火场容器冷却，直至灭火结束
2417,67-66-3,容器突然发出异常声音或出现异常现象，应立即撤离
2418,67-72-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2419,67-72-1,尽可能将容器从火场移至空旷处
2420,67-72-1,喷水保持火场容器冷却，直至灭火结束
2421,674-82-8,由于火场中可能发生容器爆破的情况，消防人员须在有防爆掩蔽处操作
2422,674-82-8,尽可能将容器从火场移至空旷处
2423,674-82-8,喷水保持火场容器冷却，直至灭火结束
2424,674-82-8,容器突然发出异常声音或出现异常现象，应立即撤离
2425,68-11-1,消防人员必须穿全身耐酸碱消防服、佩戴空气呼吸器灭火
2426,68-11-1,尽可能将容器从火场移至空旷处
2427,68-11-1,喷水保持火场容器冷却，直至灭火结束
2428,68-11-1,容器突然发出异常声音或出现异常现象，应立即撤离
2429,68-12-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2430,68-12-2,尽可能将容器从火场移至空旷处
2431,68-12-2,喷水保持火场容器冷却，直至灭火结束
2432,68-12-2,容器突然发出异常声音或出现异常现象，应立即撤离
2433,681-84-5,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2434,681-84-5,喷水冷却容器，可能的话将容器从火场移至空旷处
2435,681-84-5,容器突然发出异常声音或出现异常现象，应立即撤离
2436,681-84-5,禁止用水、泡沫和酸碱灭火剂灭火
2437,68476-85-7,切断气源
2438,68476-85-7,若不能切断气源，则不允许熄灭泄漏处的火焰
2439,68476-85-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2440,68476-85-7,尽可能将容器从火场移至空旷处
2441,68476-85-7,喷水保持火场容器冷却，直至灭火结束
2442,693-02-7,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2443,693-02-7,喷水冷却容器，可能的话将容器从火场移至空旷处
2444,693-02-7,容器突然发出异常声音或出现异常现象，应立即撤离
2445,694-05-3,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2446,694-05-3,喷水冷却容器，可能的话将容器从火场移至空旷处
2447,694-05-3,容器突然发出异常声音或出现异常现象，应立即撤离
2448,70-34-8,消防人员必须佩戴空气呼吸器、穿全身防火防毒服，在上风向灭火
2449,70-34-8,尽可能将容器从火场移至空旷处
2450,70-34-8,喷水保持火场容器冷却，直至灭火结束
2451,71-23-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2452,71-23-8,尽可能将容器从火场移至空旷处
2453,71-23-8,喷水保持火场容器冷却，直至灭火结束
2454,71-23-8,容器突然发出异常声音或出现异常现象，应立即撤离
2455,71-36-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2456,71-36-3,尽可能将容器从火场移至空旷处
2457,71-36-3,喷水保持火场容器冷却，直至灭火结束
2458,71-36-3,容器突然发出异常声音或出现异常现象，应立即撤离
