,CAS,操作注意事项
11101,547-63-7,密闭操作，局部排风
11102,547-63-7,防止蒸气泄漏到工作场所空气中
11103,547-63-7,操作人员必须经过专门培训，严格遵守操作规程
11104,547-63-7,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶手套
11105,547-63-7,远离火种、热源，工作场所严禁吸烟
11106,547-63-7,使用防爆型的通风系统和设备
11107,547-63-7,在清除液体和蒸气前不能进行焊接、切割等作业
11108,547-63-7,避免产生烟雾
11109,547-63-7,避免与氧化剂、酸类、碱类接触
11110,547-63-7,容器与传送设备要接地，防止产生静电
11111,547-63-7,灌装时应控制流速，且有接地装置，防止静电积聚
11112,547-63-7,配备相应品种和数量的消防器材及泄漏应急处理设备
11113,547-63-7,倒空的容器可能残留有害物
11114,547-64-8,密闭操作，全面通风
11115,547-64-8,操作人员必须经过专门培训，严格遵守操作规程
11116,547-64-8,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11117,547-64-8,远离火种、热源
11118,547-64-8,工作场所严禁吸烟
11119,547-64-8,使用防爆型的通风系统和设备
11120,547-64-8,防止蒸气泄漏到工作场所空气中
11121,547-64-8,避免与氧化剂、酸类、碱类接触
11122,547-64-8,充装要控制流速，防止静电积聚
11123,547-64-8,搬运时要轻装轻卸，防止包装及容器损坏
11124,547-64-8,配备相应品种和数量的消防器材及泄漏应急处理设备
11125,547-64-8,倒空的容器可能残留有害物
11126,55-38-9,密闭操作，局部排风
11127,55-38-9,操作尽可能机械化、自动化
11128,55-38-9,操作人员必须经过专门培训，严格遵守操作规程
11129,55-38-9,建议操作人员佩戴过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防毒物渗透工作服，戴乳胶手套
11130,55-38-9,远离火种、热源，工作场所严禁吸烟
11131,55-38-9,使用防爆型的通风系统和设备
11132,55-38-9,防止蒸气泄漏到工作场所空气中
11133,55-38-9,避免与氧化剂接触
11134,55-38-9,搬运时要轻装轻卸，防止包装及容器损坏
11135,55-38-9,配备相应品种和数量的消防器材及泄漏应急处理设备
11136,55-38-9,倒空的容器可能残留有害物
11137,55-63-0,密闭操作，提供充分的局部排风
11138,55-63-0,操作尽可能机械化、自动化
11139,55-63-0,操作人员必须经过专门培训，严格遵守操作规程
11140,55-63-0,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴安全防护眼镜，穿防静电工作服，戴防化学品手套
11141,55-63-0,远离火种、热源
11142,55-63-0,工作场所严禁吸烟
11143,55-63-0,使用防爆型的通风系统和设备
11144,55-63-0,防止蒸气泄漏到工作场所空气中
11145,55-63-0,避免与氧化剂、活性金属粉末、酸类接触
11146,55-63-0,搬运时要轻装轻卸，防止包装及容器损坏
11147,55-63-0,禁止震动、撞击和摩擦
11148,55-63-0,配备相应品种和数量的消防器材及泄漏应急处理设备
11149,55-68-5,密闭操作，局部排风
11150,55-68-5,防止粉尘释放到车间空气中
11151,55-68-5,操作人员必须经过专门培训，严格遵守操作规程
11152,55-68-5,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴乳胶手套
11153,55-68-5,远离火种、热源，工作场所严禁吸烟
11154,55-68-5,使用防爆型的通风系统和设备
11155,55-68-5,避免产生粉尘
11156,55-68-5,避免与氧化剂、酸类接触
11157,55-68-5,配备相应品种和数量的消防器材及泄漏应急处理设备
11158,55-68-5,倒空的容器可能残留有害物
11159,55-91-4,密闭操作，提供充分的局部排风
11160,55-91-4,操作尽可能机械化、自动化
11161,55-91-4,操作人员必须经过专门培训，严格遵守操作规程
11162,55-91-4,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
11163,55-91-4,远离火种、热源，工作场所严禁吸烟
11164,55-91-4,使用防爆型的通风系统和设备
11165,55-91-4,防止蒸气泄漏到工作场所空气中
11166,55-91-4,避免与氧化剂、碱类接触
11167,55-91-4,搬运时要轻装轻卸，防止包装及容器损坏
11168,55-91-4,配备相应品种和数量的消防器材及泄漏应急处理设备
11169,55-91-4,倒空的容器可能残留有害物
11170,551-06-4,密闭操作，提供充分的局部排风
11171,551-06-4,操作尽可能机械化、自动化
11172,551-06-4,操作人员必须经过专门培训，严格遵守操作规程
11173,551-06-4,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴乳胶手套
11174,551-06-4,远离火种、热源，工作场所严禁吸烟
11175,551-06-4,使用防爆型的通风系统和设备
11176,551-06-4,避免产生粉尘
11177,551-06-4,避免与氧化剂、酸类、碱类、醇类接触
11178,551-06-4,搬运时要轻装轻卸，防止包装及容器损坏
11179,551-06-4,配备相应品种和数量的消防器材及泄漏应急处理设备
11180,551-06-4,倒空的容器可能残留有害物
11181,552-46-5,密闭操作，提供充分的局部排风
11182,552-46-5,防止粉尘释放到车间空气中
11183,552-46-5,操作人员必须经过专门培训，严格遵守操作规程
11184,552-46-5,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
11185,552-46-5,远离火种、热源，工作场所严禁吸烟
11186,552-46-5,使用防爆型的通风系统和设备
11187,552-46-5,避免产生粉尘
11188,552-46-5,避免与氧化剂、碱类接触
11189,552-46-5,配备相应品种和数量的消防器材及泄漏应急处理设备
11190,552-46-5,倒空的容器可能残留有害物
11191,553-90-2,密闭操作，局部排风
11192,553-90-2,操作人员必须经过专门培训，严格遵守操作规程
11193,553-90-2,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿透气型防毒服，戴防化学品手套
11194,553-90-2,远离火种、热源
11195,553-90-2,工作场所严禁吸烟
11196,553-90-2,使用防爆型的通风系统和设备
11197,553-90-2,避免产生粉尘
11198,553-90-2,避免与氧化剂、还原剂、酸类、碱类接触
11199,553-90-2,搬运时要轻装轻卸，防止包装及容器损坏
11200,553-90-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11201,553-90-2,倒空的容器可能残留有害物
11202,554-00-7,密闭操作，提供充分的局部排风
11203,554-00-7,操作人员必须经过专门培训，严格遵守操作规程
11204,554-00-7,建议操作人员佩戴自吸过滤式防尘口罩，戴安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
11205,554-00-7,远离火种、热源
11206,554-00-7,工作场所严禁吸烟
11207,554-00-7,使用防爆型的通风系统和设备
11208,554-00-7,避免产生粉尘
11209,554-00-7,避免与氧化剂、酸类接触
11210,554-00-7,搬运时要轻装轻卸，防止包装及容器损坏
11211,554-00-7,配备相应品种和数量的消防器材及泄漏应急处理设备
11212,554-00-7,倒空的容器可能残留有害物
11213,554-12-1,密闭操作，全面通风
11214,554-12-1,操作人员必须经过专门培训，严格遵守操作规程
11215,554-12-1,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11216,554-12-1,远离火种、热源
11217,554-12-1,工作场所严禁吸烟
11218,554-12-1,使用防爆型的通风系统和设备
11219,554-12-1,防止蒸气泄漏到工作场所空气中
11220,554-12-1,避免与氧化剂、酸类接触
11221,554-12-1,灌装时应控制流速，且有接地装置，防止静电积聚
11222,554-12-1,搬运时要轻装轻卸，防止包装及容器损坏
11223,554-12-1,配备相应品种和数量的消防器材及泄漏应急处理设备
11224,554-12-1,倒空的容器可能残留有害物
11225,554-84-7,密闭操作，提供充分的局部排风
11226,554-84-7,操作人员必须经过专门培训，严格遵守操作规程
11227,554-84-7,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
11228,554-84-7,远离火种、热源
11229,554-84-7,工作场所严禁吸烟
11230,554-84-7,使用防爆型的通风系统和设备
11231,554-84-7,避免产生粉尘
11232,554-84-7,避免与氧化剂、还原剂、碱类接触
11233,554-84-7,搬运时要轻装轻卸，防止包装及容器损坏
11234,554-84-7,配备相应品种和数量的消防器材及泄漏应急处理设备
11235,554-84-7,倒空的容器可能残留有害物
11236,555-03-3,密闭操作，加强通风
11237,555-03-3,操作人员必须经过专门培训，严格遵守操作规程
11238,555-03-3,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿防毒物渗透工作服，戴橡胶手套
11239,555-03-3,远离火种、热源
11240,555-03-3,工作场所严禁吸烟
11241,555-03-3,使用防爆型的通风系统和设备
11242,555-03-3,避免产生粉尘
11243,555-03-3,避免与氧化剂、还原剂、酸类、碱类接触
11244,555-03-3,搬运时要轻装轻卸，防止包装及容器损坏
11245,555-03-3,配备相应品种和数量的消防器材及泄漏应急处理设备
11246,555-03-3,倒空的容器可能残留有害物
11247,555-21-5,严加密闭，提供充分的局部排风和全面通风
11248,555-21-5,操作尽可能机械化、自动化
11249,555-21-5,操作人员必须经过专门培训，严格遵守操作规程
11250,555-21-5,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
11251,555-21-5,远离火种、热源，工作场所严禁吸烟
11252,555-21-5,使用防爆型的通风系统和设备
11253,555-21-5,避免产生粉尘
11254,555-21-5,避免与氧化剂、还原剂、酸类、碱类接触
11255,555-21-5,搬运时要轻装轻卸，防止包装及容器损坏
11256,555-21-5,配备相应品种和数量的消防器材及泄漏应急处理设备
11257,555-21-5,倒空的容器可能残留有害物
11258,556-24-1,生产过程密闭化
11259,556-24-1,防止蒸气泄漏到工作场所空气中
11260,556-24-1,操作人员必须经过专门培训，严格遵守操作规程
11261,556-24-1,建议操作人员佩戴过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴乳胶手套
11262,556-24-1,远离火种、热源，工作场所严禁吸烟
11263,556-24-1,使用防爆型的通风系统和设备
11264,556-24-1,在清除液体和蒸气前不能进行焊接、切割等作业
11265,556-24-1,避免产生烟雾
11266,556-24-1,避免与氧化剂接触
11267,556-24-1,容器与传送设备要接地，防止产生静电
11268,556-24-1,灌装时应控制流速，且有接地装置，防止静电积聚
11269,556-24-1,配备相应品种和数量的消防器材及泄漏应急处理设备
11270,556-24-1,倒空的容器可能残留有害物
11271,556-56-9,密闭操作，全面通风
11272,556-56-9,操作人员必须经过专门培训，严格遵守操作规程
11273,556-56-9,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
11274,556-56-9,远离火种、热源，工作场所严禁吸烟
11275,556-56-9,使用防爆型的通风系统和设备
11276,556-56-9,防止蒸气泄漏到工作场所空气中
11277,556-56-9,避免与氧化剂、酸类接触
11278,556-56-9,充装要控制流速，防止静电积聚
11279,556-56-9,搬运时要轻装轻卸，防止包装及容器损坏
11280,556-56-9,配备相应品种和数量的消防器材及泄漏应急处理设备
11281,556-56-9,倒空的容器可能残留有害物
11282,556-61-6,严加密闭，提供充分的局部排风和全面通风
11283,556-61-6,操作人员必须经过专门培训，严格遵守操作规程
11284,556-61-6,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
11285,556-61-6,远离火种、热源，工作场所严禁吸烟
11286,556-61-6,使用防爆型的通风系统和设备
11287,556-61-6,避免与氧化剂、酸类、碱类、醇类接触
11288,556-61-6,搬运时要轻装轻卸，防止包装及容器损坏
11289,556-61-6,配备相应品种和数量的消防器材及泄漏应急处理设备
11290,556-61-6,倒空的容器可能残留有害物
11291,556-64-9,密闭操作，提供充分的局部排风
11292,556-64-9,操作尽可能机械化、自动化
11293,556-64-9,操作人员必须经过专门培训，严格遵守操作规程
11294,556-64-9,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防毒物渗透工作服，戴防化学品手套
11295,556-64-9,远离火种、热源
11296,556-64-9,工作场所严禁吸烟
11297,556-64-9,使用防爆型的通风系统和设备
11298,556-64-9,防止蒸气泄漏到工作场所空气中
11299,556-64-9,避免与氧化剂、酸类、碱类、醇类接触
11300,556-64-9,搬运时要轻装轻卸，防止包装及容器损坏
11301,556-64-9,配备相应品种和数量的消防器材及泄漏应急处理设备
11302,556-64-9,倒空的容器可能残留有害物
11303,556-88-7,严加密闭，提供充分的局部排风和全面通风
11304,556-88-7,操作人员必须经过专门培训，严格遵守操作规程
11305,556-88-7,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿紧袖工作服，长筒胶鞋，戴橡胶手套
11306,556-88-7,远离火种、热源
11307,556-88-7,工作场所严禁吸烟
11308,556-88-7,使用防爆型的通风系统和设备
11309,556-88-7,避免产生粉尘
11310,556-88-7,避免与氧化剂、碱类接触
11311,556-88-7,禁止震动、撞击和摩擦
11312,556-88-7,配备相应品种和数量的消防器材及泄漏应急处理设备
11313,557-17-5,密闭操作，全面通风
11314,557-17-5,操作人员必须经过专门培训，严格遵守操作规程
11315,557-17-5,建议操作人员穿防静电工作服，戴橡胶耐油手套
11316,557-17-5,远离火种、热源，工作场所严禁吸烟
11317,557-17-5,使用防爆型的通风系统和设备
11318,557-17-5,防止蒸气泄漏到工作场所空气中
11319,557-17-5,避免与氧化剂、卤素接触
11320,557-17-5,充装要控制流速，防止静电积聚
11321,557-17-5,灌装适量，应留有5%的空容积
11322,557-17-5,配备相应品种和数量的消防器材及泄漏应急处理设备
11323,557-17-5,倒空的容器可能残留有害物
11324,557-18-6,密闭操作，提供充分的局部排风
11325,557-18-6,防止蒸气泄漏到工作场所空气中
11326,557-18-6,操作人员必须经过专门培训，严格遵守操作规程
11327,557-18-6,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿防静电工作服，戴橡胶手套
11328,557-18-6,远离火种、热源，工作场所严禁吸烟
11329,557-18-6,使用防爆型的通风系统和设备
11330,557-18-6,在清除液体和蒸气前不能进行焊接、切割等作业
11331,557-18-6,避免产生烟雾
11332,557-18-6,避免与氧化剂、酸类、醇类、卤素、胺类接触
11333,557-18-6,尤其要注意避免与水接触
11334,557-18-6,在氮气中操作处置
11335,557-18-6,配备相应品种和数量的消防器材及泄漏应急处理设备
11336,557-18-6,倒空的容器可能残留有害物
11337,557-19-7,密闭操作，提供充分的局部排风
11338,557-19-7,防止粉尘释放到车间空气中
11339,557-19-7,操作人员必须经过专门培训，严格遵守操作规程
11340,557-19-7,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
11341,557-19-7,避免产生粉尘
11342,557-19-7,避免与酸类、镁氯甲酸盐、亚硝酸钠、亚硝酸钾接触
11343,557-19-7,配备泄漏应急处理设备
11344,557-19-7,倒空的容器可能残留有害物
11345,557-20-0,密闭操作，提供充分的局部排风
11346,557-20-0,防止蒸气泄漏到工作场所空气中
11347,557-20-0,操作人员必须经过专门培训，严格遵守操作规程
11348,557-20-0,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿防静电工作服，戴橡胶手套
11349,557-20-0,远离火种、热源，工作场所严禁吸烟
11350,557-20-0,使用防爆型的通风系统和设备
11351,557-20-0,在清除液体和蒸气前不能进行焊接、切割等作业
11352,557-20-0,避免产生烟雾
11353,557-20-0,避免与氧化剂、卤素、卤化物接触
11354,557-20-0,尤其要注意避免与水接触
11355,557-20-0,配备相应品种和数量的消防器材及泄漏应急处理设备
11356,557-20-0,倒空的容器可能残留有害物
11357,557-21-1,严加密闭，提供充分的局部排风和全面通风
11358,557-21-1,操作尽可能机械化、自动化
11359,557-21-1,操作人员必须经过专门培训，严格遵守操作规程
11360,557-21-1,建议操作人员佩戴头罩型电动送风过滤式防尘呼吸器，穿连衣式防毒衣，戴橡胶手套
11361,557-21-1,避免产生粉尘
11362,557-21-1,避免与氧化剂、酸类接触
11363,557-21-1,搬运时要轻装轻卸，防止包装及容器损坏
11364,557-21-1,配备泄漏应急处理设备
11365,557-21-1,倒空的容器可能残留有害物
11366,557-31-3,密闭操作，全面通风
11367,557-31-3,操作人员必须经过专门培训，严格遵守操作规程
11368,557-31-3,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11369,557-31-3,远离火种、热源，工作场所严禁吸烟
11370,557-31-3,使用防爆型的通风系统和设备
11371,557-31-3,防止蒸气泄漏到工作场所空气中
11372,557-31-3,避免与氧化剂、酸类接触
11373,557-31-3,灌装时应控制流速，且有接地装置，防止静电积聚
11374,557-31-3,搬运时要轻装轻卸，防止包装及容器损坏
11375,557-31-3,配备相应品种和数量的消防器材及泄漏应急处理设备
11376,557-31-3,倒空的容器可能残留有害物
11377,557-40-4,密闭操作，全面通风
11378,557-40-4,操作人员必须经过专门培训，严格遵守操作规程
11379,557-40-4,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11380,557-40-4,远离火种、热源，工作场所严禁吸烟
11381,557-40-4,使用防爆型的通风系统和设备
11382,557-40-4,防止蒸气泄漏到工作场所空气中
11383,557-40-4,避免与氧化剂、酸类接触
11384,557-40-4,灌装时应控制流速，且有接地装置，防止静电积聚
11385,557-40-4,搬运时要轻装轻卸，防止包装及容器损坏
11386,557-40-4,配备相应品种和数量的消防器材及泄漏应急处理设备
11387,557-40-4,倒空的容器可能残留有害物
11388,557-98-2,密闭操作，全面通风
11389,557-98-2,操作人员必须经过专门培训，严格遵守操作规程
11390,557-98-2,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11391,557-98-2,远离火种、热源
11392,557-98-2,工作场所严禁吸烟
11393,557-98-2,使用防爆型的通风系统和设备
11394,557-98-2,防止蒸气泄漏到工作场所空气中
11395,557-98-2,避免与氧化剂、酸类、碱类接触
11396,557-98-2,充装要控制流速，防止静电积聚
11397,557-98-2,搬运时要轻装轻卸，防止包装及容器损坏
11398,557-98-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11399,557-98-2,倒空的容器可能残留有害物
11400,558-13-4,密闭操作，局部排风
11401,558-13-4,操作人员必须经过专门培训，严格遵守操作规程
11402,558-13-4,建议操作人员佩戴自吸过滤式防尘口罩，戴化学安全防护眼镜，穿透气型防毒服，戴防化学品手套
11403,558-13-4,避免与氧化剂、碱类接触
11404,558-13-4,搬运时要轻装轻卸，防止包装及容器损坏
11405,558-13-4,配备泄漏应急处理设备
11406,558-13-4,倒空的容器可能残留有害物
11407,558-17-8,密闭操作，加强通风
11408,558-17-8,操作人员必须经过专门培训，严格遵守操作规程
11409,558-17-8,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11410,558-17-8,远离火种、热源
11411,558-17-8,工作场所严禁吸烟
11412,558-17-8,使用防爆型的通风系统和设备
11413,558-17-8,防止蒸气泄漏到工作场所空气中
11414,558-17-8,避免与氧化剂、酸类、碱类接触
11415,558-17-8,充装要控制流速，防止静电积聚
11416,558-17-8,搬运时要轻装轻卸，防止包装及容器损坏
11417,558-17-8,配备相应品种和数量的消防器材及泄漏应急处理设备
11418,558-17-8,倒空的容器可能残留有害物
11419,558-25-8,严加密闭，提供充分的局部排风和全面通风
11420,558-25-8,操作人员必须经过专门培训，严格遵守操作规程
11421,558-25-8,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
11422,558-25-8,远离火种、热源
11423,558-25-8,工作场所严禁吸烟
11424,558-25-8,使用防爆型的通风系统和设备
11425,558-25-8,防止气体泄漏到工作场所空气中
11426,558-25-8,避免与氧化剂接触
11427,558-25-8,搬运时轻装轻卸，防止钢瓶及附件破损
11428,558-25-8,配备相应品种和数量的消防器材及泄漏应急处理设备
11429,56-18-8,密闭操作，局部排风
11430,56-18-8,防止蒸气泄漏到工作场所空气中
11431,56-18-8,操作人员必须经过专门培训，严格遵守操作规程
11432,56-18-8,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿橡胶耐酸碱服，戴橡胶耐酸碱手套
11433,56-18-8,远离火种、热源，工作场所严禁吸烟
11434,56-18-8,使用防爆型的通风系统和设备
11435,56-18-8,在清除液体和蒸气前不能进行焊接、切割等作业
11436,56-18-8,避免产生烟雾
11437,56-18-8,避免与氧化剂、酸类、酸酐、酰基氯接触
11438,56-18-8,配备相应品种和数量的消防器材及泄漏应急处理设备
11439,56-18-8,倒空的容器可能残留有害物
11440,56-23-5,密闭操作，加强通风
11441,56-23-5,操作人员必须经过专门培训，严格遵守操作规程
11442,56-23-5,建议操作人员佩戴直接式防毒面具(半面罩)，戴安全护目镜，穿防毒物渗透工作服，戴防化学品手套
11443,56-23-5,防止蒸气泄漏到工作场所空气中
11444,56-23-5,避免与氧化剂、活性金属粉末接触
11445,56-23-5,搬运时要轻装轻卸，防止包装及容器损坏
11446,56-23-5,配备泄漏应急处理设备
11447,56-23-5,倒空的容器可能残留有害物
11448,56-35-9,"Wash thoroughly after handling. Use only in a well ventilated area. Avoid contact with eyes, skin, and clothing. Keep container tightly closed. Avoid ingestion and inhalation. Wash clothing before reuse."
11449,56-38-2,密闭操作，提供充分的局部排风
11450,56-38-2,操作尽可能机械化、自动化
11451,56-38-2,操作人员必须经过专门培训，严格遵守操作规程
11452,56-38-2,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿连衣式防毒衣，戴橡胶手套
11453,56-38-2,远离火种、热源
11454,56-38-2,工作场所严禁吸烟
11455,56-38-2,使用防爆型的通风系统和设备
11456,56-38-2,防止蒸气泄漏到工作场所空气中
11457,56-38-2,避免与氧化剂、碱类接触
11458,56-38-2,搬运时要轻装轻卸，防止包装及容器损坏
11459,56-38-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11460,56-38-2,倒空的容器可能残留有害物
11461,56-72-4,密闭操作，提供充分的局部排风
11462,56-72-4,防止粉尘释放到车间空气中
11463,56-72-4,操作人员必须经过专门培训，严格遵守操作规程
11464,56-72-4,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
11465,56-72-4,远离火种、热源，工作场所严禁吸烟
11466,56-72-4,使用防爆型的通风系统和设备
11467,56-72-4,避免产生粉尘
11468,56-72-4,避免与氧化剂接触
11469,56-72-4,配备相应品种和数量的消防器材及泄漏应急处理设备
11470,56-72-4,倒空的容器可能残留有害物
11471,56073-10-0,密闭操作，提供充分的局部排风
11472,56073-10-0,防止粉尘释放到车间空气中
11473,56073-10-0,操作人员必须经过专门培训，严格遵守操作规程
11474,56073-10-0,建议操作人员佩戴防尘面具（全面罩），穿胶布防毒衣，戴橡胶手套
11475,56073-10-0,远离火种、热源，工作场所严禁吸烟
11476,56073-10-0,使用防爆型的通风系统和设备
11477,56073-10-0,避免产生粉尘
11478,56073-10-0,避免与氧化剂接触
11479,56073-10-0,配备相应品种和数量的消防器材及泄漏应急处理设备
11480,56073-10-0,倒空的容器可能残留有害物
11481,562-49-2,密闭操作，全面通风
11482,562-49-2,操作人员必须经过专门培训，严格遵守操作规程
11483,562-49-2,建议操作人员佩戴自吸过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11484,562-49-2,远离火种、热源
11485,562-49-2,工作场所严禁吸烟
11486,562-49-2,使用防爆型的通风系统和设备
11487,562-49-2,防止蒸气泄漏到工作场所空气中
11488,562-49-2,避免与氧化剂、酸类、卤素接触
11489,562-49-2,充装要控制流速，防止静电积聚
11490,562-49-2,搬运时要轻装轻卸，防止包装及容器损坏
11491,562-49-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11492,562-49-2,倒空的容器可能残留有害物
11493,5628-99-9,严加密闭，提供充分的局部排风和全面通风
11494,5628-99-9,避免接触皮肤和眼睛
11495,5628-99-9, 防止粉尘和气溶胶生成
11496,5628-99-9, 操作人员必须经过专门培训，严格遵守操作规程
11497,5628-99-9,建议操作人员佩戴导管式防毒面具，戴化学安全防护眼镜，穿戴面罩式防毒衣，戴橡胶手套
11498,5628-99-9,远离火种、热源
11499,5628-99-9,工作场所严禁吸烟
11500,5628-99-9,使用防爆型的通风系统和设备
11501,5628-99-9,防止气体泄漏到工作场所空气中
11502,5628-99-9,避免与氧化剂接触
11503,5628-99-9,搬运时轻装轻卸，防止钢瓶及附件破损
11504,5628-99-9,配备相应品种和数量的消防器材及泄漏应急处理设备
11505,563-12-2,严加密闭，提供充分的局部排风和全面通风
11506,563-12-2,操作人员必须经过专门培训，严格遵守操作规程
11507,563-12-2,建议操作人员佩戴自吸过滤式防毒面具(全面罩)，穿聚乙烯防毒服，戴橡胶手套
11508,563-12-2,远离火种、热源
11509,563-12-2,工作场所严禁吸烟
11510,563-12-2,使用防爆型的通风系统和设备
11511,563-12-2,防止蒸气泄漏到工作场所空气中
11512,563-12-2,避免与氧化剂、酸类、碱类接触
11513,563-12-2,搬运时要轻装轻卸，防止包装及容器损坏
11514,563-12-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11515,563-12-2,倒空的容器可能残留有害物
11516,563-45-1,密闭操作，全面通风
11517,563-45-1,操作人员必须经过专门培训，严格遵守操作规程
11518,563-45-1,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11519,563-45-1,远离火种、热源，工作场所严禁吸烟
11520,563-45-1,使用防爆型的通风系统和设备
11521,563-45-1,防止蒸气泄漏到工作场所空气中
11522,563-45-1,避免与氧化剂接触
11523,563-45-1,灌装时应控制流速，且有接地装置，防止静电积聚
11524,563-45-1,搬运时要轻装轻卸，防止包装及容器损坏
11525,563-45-1,配备相应品种和数量的消防器材及泄漏应急处理设备
11526,563-45-1,倒空的容器可能残留有害物
11527,563-46-2,密闭操作，全面通风
11528,563-46-2,操作人员必须经过专门培训，严格遵守操作规程
11529,563-46-2,建议操作人员佩戴过滤式防毒面具(半面罩)，戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11530,563-46-2,远离火种、热源
11531,563-46-2,工作场所严禁吸烟
11532,563-46-2,使用防爆型的通风系统和设备
11533,563-46-2,防止蒸气泄漏到工作场所空气中
11534,563-46-2,避免与氧化剂、酸类接触
11535,563-46-2,灌装时应控制流速，且有接地装置，防止静电积聚
11536,563-46-2,搬运时要轻装轻卸，防止包装及容器损坏
11537,563-46-2,配备相应品种和数量的消防器材及泄漏应急处理设备
11538,563-46-2,倒空的容器可能残留有害物
11539,563-47-3,密闭操作，全面通风
11540,563-47-3,操作人员必须经过专门培训，严格遵守操作规程
11541,563-47-3,建议操作人员佩戴自吸过滤式防毒面具（全面罩），穿胶布防毒衣，戴橡胶耐油手套
11542,563-47-3,远离火种、热源，工作场所严禁吸烟
11543,563-47-3,使用防爆型的通风系统和设备
11544,563-47-3,防止蒸气泄漏到工作场所空气中
11545,563-47-3,避免与氧化剂、酸类接触
11546,563-47-3,充装要控制流速，防止静电积聚
11547,563-47-3,搬运时要轻装轻卸，防止包装及容器损坏
11548,563-47-3,配备相应品种和数量的消防器材及泄漏应急处理设备
11549,563-47-3,倒空的容器可能残留有害物
11550,563-52-0,密闭操作，加强通风
11551,563-52-0,操作人员必须经过专门培训，严格遵守操作规程
11552,563-52-0,建议操作人员佩戴自吸过滤式防毒面具（半面罩），戴化学安全防护眼镜，穿防静电工作服，戴橡胶耐油手套
11553,563-52-0,远离火种、热源，工作场所严禁吸烟
11554,563-52-0,使用防爆型的通风系统和设备
11555,563-52-0,防止蒸气泄漏到工作场所空气中
11556,563-52-0,避免与氧化剂、碱类接触
11557,563-52-0,灌装时应控制流速，且有接地装置，防止静电积聚
11558,563-52-0,搬运时要轻装轻卸，防止包装及容器损坏
11559,563-52-0,配备相应品种和数量的消防器材及泄漏应急处理设备
11560,563-52-0,倒空的容器可能残留有害物
11561,563-54-2,严加密闭，提供充分的局部排风和全面通风
11562,563-54-2,操作人员必须经过专门培训，严格遵守操作规程
