,CAS,灭火方法
2752,56-18-8,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
2753,56-23-5,用雾状水、二氧化碳、砂土灭火
2754,56-35-9,"Wear a self-contained breathing apparatus in pressure-demand, MSHA/NIOSH (approved or equivalent), and full protective gear. During a fire, irritating and highly toxic gases may be generated by thermal decomposition or combustion. Use water spray to keep fire-exposed containers cool. Containers may explode in the heat of a fire. To extinguish fire, use water, dry chemical, chemical foam, or alcohol-resistant foam. Use flooding quantities of water. Do NOT use straight streams of water. Cool containers with flooding quantities of water until well after fire is out."
2755,56-38-2,用雾状水、泡沫、干粉、砂土灭火
2756,56-72-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2757,56-72-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2758,56073-10-0,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2759,56073-10-0,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
2760,56073-10-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2761,562-49-2,用泡沫、二氧化碳、干粉、砂土灭火
2762,5628-99-9,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
2763,563-12-2,用干粉、泡沫、砂土灭火
2764,563-45-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2765,563-45-1,尽可能将容器从火场移至空旷处
2766,563-45-1,喷水保持火场容器冷却，直至灭火结束
2767,563-45-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2768,563-45-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2769,563-46-2,用泡沫、二氧化碳、干粉、砂土灭火
2770,563-47-3,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2771,563-47-3,尽可能将容器从火场移至空旷处
2772,563-47-3,喷水保持火场容器冷却，直至灭火结束
2773,563-47-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2774,563-47-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2775,563-52-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2776,563-52-0,尽可能将容器从火场移至空旷处
2777,563-52-0,喷水保持火场容器冷却，直至灭火结束
2778,563-52-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2779,563-52-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2780,563-54-2,用泡沫、二氧化碳、干粉、砂土灭火
2781,563-68-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2782,563-68-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2783,563-76-8,消防人员必须穿全身耐酸碱消防服
2784,563-76-8,尽可能将容器从火场移至空旷处
2785,563-76-8,喷水保持火场容器冷却，直至灭火结束
2786,563-76-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2787,563-76-8,灭火剂：干粉、二氧化碳、砂土
2788,563-76-8,禁止用水和泡沫灭火
2789,563-78-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2790,563-78-0,尽可能将容器从火场移至空旷处
2791,563-78-0,喷水保持火场容器冷却，直至灭火结束
2792,563-78-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2793,563-78-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2794,563-78-0,不宜用水
2795,563-79-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2796,563-79-1,尽可能将容器从火场移至空旷处
2797,563-79-1,喷水保持火场容器冷却，直至灭火结束
2798,563-79-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2799,563-79-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2800,563-79-1,不宜用水
2801,563-80-4,用抗溶性泡沫、干粉、二氧化碳、砂土灭火
2802,564-02-3,用泡沫、二氧化碳、干粉、砂土灭火
2803,565-59-3,用泡沫、二氧化碳、干粉、砂土灭火
2804,565-61-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2805,565-61-7,尽可能将容器从火场移至空旷处
2806,565-61-7,喷水保持火场容器冷却，直至灭火结束
2807,565-61-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2808,565-61-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2809,565-67-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2810,565-67-3,尽可能将容器从火场移至空旷处
2811,565-67-3,喷水保持火场容器冷却，直至灭火结束
2812,565-67-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2813,565-67-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2814,565-67-3,不宜用水
2815,565-69-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2816,565-69-5,尽可能将容器从火场移至空旷处
2817,565-69-5,喷水保持火场容器冷却，直至灭火结束
2818,565-69-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2819,565-69-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2820,565-75-3,用泡沫、二氧化碳、干粉、砂土灭火
2821,565-80-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2822,565-80-0,尽可能将容器从火场移至空旷处
2823,565-80-0,喷水保持火场容器冷却，直至灭火结束
2824,565-80-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2825,565-80-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2826,565-80-0,不宜用水
2827,57-06-7,用泡沫、干粉、二氧化碳、砂土灭火
2828,57-14-7,用抗溶性泡沫、二氧化碳、干粉、砂土灭火
2829,57-24-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2830,57-24-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2831,57-39-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2832,57-39-6,尽可能将容器从火场移至空旷处
2833,57-39-6,喷水保持火场容器冷却，直至灭火结束
2834,57-39-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2835,57-39-6,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
2836,57-39-6,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
2837,57-52-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2838,57-52-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2839,57-74-9,本品不燃
2840,57-74-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2841,57-74-9,尽可能将容器从火场移至空旷处
2842,57-74-9,喷水保持火场容器冷却，直至灭火结束
2843,57-74-9,迅速切断气源，然后根据着火原因选择适当灭火剂灭火
2844,57-94-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2845,57-94-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2846,576-23-8,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2847,576-23-8,尽可能将容器从火场移至空旷处
2848,576-23-8,喷水保持火场容器冷却，直至灭火结束
2849,576-23-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2850,576-23-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2851,576-24-9,消防人员须佩戴防毒面具，穿全身消防服，在上风向灭火；灭火剂使用泡沫、二氧化碳、沙土、干粉
2852,576-26-1,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2853,576-26-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2854,577-19-5,用雾状水、泡沫、二氧化碳、砂土灭火
2855,578-54-1,用泡沫、干粉、二氧化碳、砂土灭火
2856,58-89-9,尽可能将容器从火场移至空旷处
2857,58-89-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2858,58-90-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2859,58-90-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2860,580-17-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2861,580-17-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2862,581-64-6,"用水雾,耐醇泡沫,干粉或二氧化碳灭火"
2863,581-89-5,用雾状水、二氧化碳、干粉、砂土灭火
2864,58164-88-8,尽可能将容器从火场移至空旷处
2865,58164-88-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2866,583-53-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2867,583-53-9,尽可能将容器从火场移至空旷处
2868,583-53-9,喷水保持火场容器冷却，直至灭火结束
2869,583-53-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2870,583-53-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2871,583-58-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2872,583-58-4,尽可能将容器从火场移至空旷处
2873,583-58-4,喷水保持火场容器冷却，直至灭火结束
2874,583-58-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2875,583-58-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2876,583-58-4,不宜用水
2877,583-71-1,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2878,583-71-1,尽可能将容器从火场移至空旷处
2879,583-71-1,喷水保持火场容器冷却，直至灭火结束
2880,583-71-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2881,583-71-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2882,583-78-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2883,583-78-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2884,5836-29-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2885,5836-29-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2886,584-48-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2887,584-48-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2888,584-94-1,用泡沫、二氧化碳、干粉、砂土灭火
2889,585-79-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2890,585-79-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2891,586-62-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2892,586-62-9,尽可能将容器从火场移至空旷处
2893,586-62-9,喷水保持火场容器冷却，直至灭火结束
2894,586-62-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2895,586-62-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2896,586-75-4,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2897,586-75-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2898,586-78-7,用雾状水、泡沫、二氧化碳、砂土灭火
2899,587-85-9,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
2900,589-38-8,用泡沫、干粉、二氧化碳、砂土灭火
2901,589-43-5,用泡沫、二氧化碳、干粉、砂土灭火
2902,589-53-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2903,589-53-7,尽可能将容器从火场移至空旷处
2904,589-53-7,喷水保持火场容器冷却，直至灭火结束
2905,589-53-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2906,589-53-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2907,589-53-7,不宜用水
2908,589-90-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2909,589-90-2,尽可能将容器从火场移至空旷处
2910,589-90-2,喷水保持火场容器冷却，直至灭火结束
2911,589-90-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2912,589-90-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2913,589-90-2,不宜用水
2914,589-93-5,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2915,589-93-5,尽可能将容器从火场移至空旷处
2916,589-93-5,喷水保持火场容器冷却，直至灭火结束
2917,589-93-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2918,589-93-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2919,5894-60-0,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2920,5894-60-0,尽可能将容器从火场移至空旷处
2921,5894-60-0,喷水保持火场容器冷却，直至灭火结束
2922,5894-60-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2923,5894-60-0,灭火剂：干粉、二氧化碳、砂土
2924,5894-60-0,禁止用水和泡沫灭火
2925,59-50-7,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2926,59-50-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2927,59-85-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2928,59-85-8,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
2929,59-85-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2930,590-01-2,用泡沫、干粉、二氧化碳、砂土灭火
2931,590-35-2,用泡沫、二氧化碳、干粉、砂土灭火
2932,590-36-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2933,590-36-3,尽可能将容器从火场移至空旷处
2934,590-36-3,喷水保持火场容器冷却，直至灭火结束
2935,590-36-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2936,590-36-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2937,590-36-3,不宜用水
2938,590-66-9,用泡沫、二氧化碳、干粉、砂土灭火
2939,590-73-8,用泡沫、二氧化碳、干粉、砂土灭火
2940,590-86-3,用泡沫、干粉、二氧化碳、砂土灭火
2941,590-92-1,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2942,590-92-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2943,591-17-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2944,591-17-3,尽可能将容器从火场移至空旷处
2945,591-17-3,喷水保持火场容器冷却，直至灭火结束
2946,591-17-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2947,591-17-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2948,591-19-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火；尽可能将容器从火场移至空旷处；喷水保持火场容器冷却，直至灭火结束；处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离；灭火剂使用雾状水、泡沫、二氧化碳、沙土、干粉，不宜用水
2949,591-20-8,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
2950,591-20-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2951,591-22-0,用泡沫、干粉、二氧化碳、砂土灭火
2952,591-27-5,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
2953,591-47-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2954,591-47-9,尽可能将容器从火场移至空旷处
2955,591-47-9,喷水保持火场容器冷却，直至灭火结束
2956,591-47-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2957,591-47-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2958,591-47-9,不宜用水
2959,591-76-4,用泡沫、干粉、二氧化碳、砂土灭火
2960,591-78-6,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2961,591-78-6,尽可能将容器从火场移至空旷处
2962,591-78-6,喷水保持火场容器冷却，直至灭火结束
2963,591-78-6,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2964,591-78-6,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2965,591-87-7,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2966,591-87-7,尽可能将容器从火场移至空旷处
2967,591-87-7,喷水保持火场容器冷却，直至灭火结束
2968,591-87-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2969,591-87-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2970,591-89-9,消防人员必须穿全身防火防毒服，在上风向灭火
2971,591-89-9,灭火时尽可能将容器从火场移至空旷处
2972,591-89-9,然后根据着火原因选择适当灭火剂灭火
2973,591-93-5,用泡沫、二氧化碳、干粉灭火
2974,591-97-9,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
2975,591-97-9,尽可能将容器从火场移至空旷处
2976,591-97-9,喷水保持火场容器冷却，直至灭火结束
2977,591-97-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2978,591-97-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2979,591-97-9,不宜用水
2980,592-01-8,本品不燃
2981,592-01-8,根据着火原因选择适当灭火剂灭火
2982,592-04-1,本品不燃
2983,592-04-1,根据着火原因选择适当灭火剂灭火
2984,592-05-2,消防人员必须穿全身防火防毒服，在上风向灭火
2985,592-05-2,灭火时尽可能将容器从火场移至空旷处
2986,592-05-2,然后根据着火原因选择适当灭火剂灭火
2987,592-27-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2988,592-27-8,尽可能将容器从火场移至空旷处
2989,592-27-8,喷水保持火场容器冷却，直至灭火结束
2990,592-27-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
2991,592-27-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
2992,592-27-8,不宜用水
2993,592-34-7,用干粉、二氧化碳、砂土灭火
2994,592-41-6,用泡沫、二氧化碳、干粉、砂土灭火
2995,592-42-7,用泡沫、二氧化碳、干粉、砂土灭火
2996,592-43-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
2997,592-43-8,尽可能将容器从火场移至空旷处
2998,592-43-8,喷水保持火场容器冷却，直至灭火结束
2999,592-43-8,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3000,592-43-8,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3001,592-45-0,用泡沫、二氧化碳、干粉、砂土灭火
3002,592-46-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3003,592-46-1,尽可能将容器从火场移至空旷处
3004,592-46-1,喷水保持火场容器冷却，直至灭火结束
3005,592-46-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3006,592-46-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3007,592-46-1,不宜用水
3008,592-48-3,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3009,592-48-3,尽可能将容器从火场移至空旷处
3010,592-48-3,喷水保持火场容器冷却，直至灭火结束
3011,592-48-3,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3012,592-48-3,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3013,592-48-3,不宜用水
3014,592-55-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3015,592-55-2,尽可能将容器从火场移至空旷处
3016,592-55-2,喷水保持火场容器冷却，直至灭火结束
3017,592-55-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3018,592-55-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3019,592-57-4,用泡沫、干粉、二氧化碳、砂土灭火
3020,592-76-7,用泡沫、干粉、二氧化碳、砂土灭火
3021,592-77-8,用泡沫、干粉、二氧化碳、砂土灭火
3022,592-78-9,用泡沫、干粉、二氧化碳、砂土灭火
3023,592-84-7,用泡沫、二氧化碳、干粉、砂土灭火
3024,592-85-8,消防人员必须穿全身防火防毒服，在上风向灭火
3025,592-85-8,灭火时尽可能将容器从火场移至空旷处
3026,592-85-8,然后根据着火原因选择适当灭火剂灭火
3027,592-88-1,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
3028,592-88-1,尽可能将容器从火场移至空旷处
3029,592-88-1,喷水保持火场容器冷却，直至灭火结束
3030,592-88-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3031,592-88-1,灭火剂：泡沫、干粉、二氧化碳、砂土
3032,593-53-3,用雾状水、泡沫、干粉灭火
3033,593-60-2,用雾状水、泡沫、干粉、二氧化碳灭火
3034,593-90-8,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3035,593-90-8,切断气源，若不能切断气源，则不允许熄灭泄漏处的火焰
3036,593-90-8,尽可能将容器从火场移至空旷处
3037,593-90-8,灭火剂：干粉、二氧化碳
3038,593-90-8,禁止用水和泡沫灭火
3039,594-36-5,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3040,594-36-5,尽可能将容器从火场移至空旷处
3041,594-36-5,喷水保持火场容器冷却，直至灭火结束
3042,594-36-5,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3043,594-36-5,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3044,594-36-5,不宜用水
3045,594-42-3,本品不燃
3046,594-42-3,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
3047,594-68-3,消防人员必须穿全身防火防毒服，在上风向灭火
3048,594-68-3,灭火时尽可能将容器从火场移至空旷处
3049,594-72-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3050,594-72-9,尽可能将容器从火场移至空旷处
3051,594-72-9,喷水保持火场容器冷却，直至灭火结束
3052,594-72-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3053,594-72-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3054,595-90-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3055,595-90-4,切勿将水流直接射至熔融物，以免引起严重的流淌火灾或引起剧烈的沸溅
3056,595-90-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3057,597-64-8,消防人员须戴过滤式防毒面具(全面罩)或隔离式呼吸器，穿全身防火防毒服，在上风处灭火；尽可能将容器从火场移至空旷处；喷水保持火场容器冷却，直至灭火结束；处在火场中的容器若已变色或从安全泄压装置中发出声音，必须马上撤离；灭火剂使用泡沫、二氧化碳、水、沙土、干粉
3058,598-14-1,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
3059,598-14-1,尽可能将容器从火场移至空旷处
3060,598-14-1,喷水保持火场容器冷却，直至灭火结束
3061,598-14-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3062,598-14-1,灭火剂：干粉、二氧化碳、砂土
3063,598-14-1,禁止用水和泡沫灭火
3064,598-16-3,用雾状水、泡沫、二氧化碳、砂土灭火
3065,598-22-1,消防人员必须穿全身耐酸碱消防服
3066,598-22-1,尽可能将容器从火场移至空旷处
3067,598-22-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3068,598-22-1,灭火剂：干粉、二氧化碳、砂土
3069,598-22-1,禁止用水和泡沫灭火
3070,598-31-2,用泡沫、二氧化碳、砂土灭火
3071,598-72-1,用雾状水、抗溶性泡沫、干粉、二氧化碳、砂土灭火
3072,598-73-2,消防人员必须佩戴过滤式防毒面具(全面罩)或隔离式呼吸器、穿全身防火防毒服，在上风向灭火
3073,598-73-2,切断气源，若不能切断气源，则不允许熄灭泄漏处的火焰
3074,598-73-2,尽可能将容器从火场移至空旷处
3075,598-73-2,喷水保持火场容器冷却，直至灭火结束
3076,598-73-2,灭火剂：水、泡沫、干粉、二氧化碳
3077,598-75-4,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3078,598-75-4,尽可能将容器从火场移至空旷处
3079,598-75-4,喷水保持火场容器冷却，直至灭火结束
3080,598-75-4,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3081,598-75-4,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3082,598-78-7,用雾状水、抗溶性泡沫、二氧化碳、砂土灭火
3083,598-98-1,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3084,598-98-1,尽可能将容器从火场移至空旷处
3085,598-98-1,喷水保持火场容器冷却，直至灭火结束
3086,598-98-1,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3087,598-98-1,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3088,598-99-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3089,598-99-2,尽可能将容器从火场移至空旷处
3090,598-99-2,喷水保持火场容器冷却，直至灭火结束
3091,598-99-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3092,598-99-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3093,598-99-2,不宜用水
3094,60-24-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3095,60-24-2,尽可能将容器从火场移至空旷处
3096,60-24-2,喷水保持火场容器冷却，直至灭火结束
3097,60-24-2,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3098,60-24-2,用水喷射逸出液体，使其稀释成不燃性混合物，并用雾状水保护消防人员
3099,60-24-2,灭火剂：水、雾状水、抗溶性泡沫、干粉、二氧化碳、砂土
3100,60-29-7,用泡沫、二氧化碳、干粉、砂土灭火
3101,60-34-4,用抗溶性泡沫、二氧化碳、干粉、砂土灭火
3102,60-57-1,用于粉、泡沫、砂土灭火
3103,600-00-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3104,600-00-0,尽可能将容器从火场移至空旷处
3105,600-00-0,喷水保持火场容器冷却，直至灭火结束
3106,600-00-0,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3107,600-00-0,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3108,600-25-9,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3109,600-25-9,由于火场中可能发生容器爆破的情况，消防人员须在有防爆掩蔽处操作
3110,600-25-9,尽可能将容器从火场移至空旷处
3111,600-25-9,喷水保持火场容器冷却，直至灭火结束
3112,600-25-9,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3113,600-25-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3114,602-87-9,消防人员须戴好防毒面具，在安全距离以外，在上风向灭火
3115,602-87-9,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3116,602-99-3,消防人员须在有防爆掩蔽处操作
3117,602-99-3,遇大火切勿轻易接近
3118,602-99-3,用大量水灭火
3119,602-99-3,禁止用砂土压盖
3120,603-35-0,用雾状水、泡沫、二氧化碳、砂土灭火
3121,6032-29-7,用泡沫、干粉、二氧化碳、1211灭火剂、砂土灭火
3122,605-69-6,用雾状水、泡沫、二氧化碳灭火
3123,606-20-2,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3124,606-20-2,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3125,606-22-4,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
3126,608-27-5,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
3127,608-31-1,用雾状水、泡沫、干粉、二氧化碳、砂土灭火
3128,608-73-1,Use method most appropriate to fight surrounding fire.
3129,609-26-7,尽可能将容器从火场移至空旷处
3130,609-26-7,喷水保持火场容器冷却，直至灭火结束
3131,609-26-7,处在火场中的容器若已变色或从安全泄压装置中产生声音，必须马上撤离
3132,609-26-7,灭火剂：雾状水、泡沫、干粉、二氧化碳、砂土
3133,609-73-4,用雾状水、泡沫、二氧化碳、砂土灭火
3134,610-14-0,消防人员须佩戴防毒面具、穿全身消防服，在上风向灭火
3135,610-14-0,尽可能将容器从火场移至空旷处
3136,610-14-0,喷水保持火场容器冷却，直至灭火结束
