,危险品名称,分子式,相对分子质量,CAS,有害物成分,外观与性状,PH值,熔点,沸点,相对密度,相对蒸汽密度,饱和蒸汽压,临界温度,临界压力,LogP,闪点,引燃温度,燃烧热,爆炸下限,爆炸上限,溶解性,主要用途,稳定性
776,克线磷乳剂,None,None,22224-92-6,None,纯品为无色结晶。,None,49.2,None,None,None,0.133×10-6(30℃)(kPa),None,None,None,无意义,None,None,None,None,微溶于水，溶于己烷、异丙醇、氯仿、甲苯。,用作农用杀线虫剂。,None
777,磷酸乙基汞,C2H7HgO4P,326.65,2235-25-8,磷酸乙基汞,无色晶体或白色粉末。易挥发，渗透性强,无意义,176,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,-0.92,无意义,无资料,None,无资料,无资料,易溶于水，易溶于多数有机溶剂,农业上用于处理种子，防治害虫,稳定
778,3-氨基苯甲腈,None,None,2237-30-1,None,针状结晶。,None,53～54,288～290,None,None,None,None,None,None,>112,None,None,None,None,溶于热水，易溶于乙醇、丙酮、乙醚。,用于有机合成。,None
779,二(2-环氧丙基)醚,None,None,2238/7/5,None,"无色透明液体,有刺激性气味。",None,None,260,1.262(25/4℃)(水=1),3.78(空气=1),0.012(25℃)(kPa),None,None,None,None,None,None,None,None,易溶于水，溶于酮、苯、苯酚。,"用作化学中间体,也用作环氧树脂活性稀释剂、有机氯化物的稳定剂和纺织处理剂。",None
780,发果[含量>15%],None,None,2275-18-5,None,纯品为无色结晶固体，工业品为琥珀色至黄色半固体，带樟脑气味。,None,28.5,None,1.151(水=1),None,None,None,None,None,无意义,None,None,None,None,微溶于水。,用作杀螨和杀虫剂。,None
781,氯丙锡,None,None,2279-76-7,None,无色液体。,None,-23.5,123(1.73kPa),1.2678(28℃)(水=1),None,None,None,None,None,None,None,None,None,None,溶于多数有机溶剂。,用作除草剂。,None
782,二硝基邻甲(苯)酚钠[干的或含水<15%],None,None,2312-76-7,None,鲜艳的桔黄色粉末。,None,None,None,None,None,None,None,None,None,无意义,None,None,None,None,易溶于水，溶于甲醇、乙醇。,用作染料中间体、杀虫剂、除莠剂。,None
783,杀线威,None,None,23135-22-0,None,白色结晶，略带硫的臭味。,None,101～103,None,None,None,None,None,None,None,无意义,None,None,None,None,溶于水、丙酮、乙醇、甲醇。,用作农用杀虫剂、杀线虫剂。,None
784,羟间唑啉（盐酸盐）,C16H24N2O·HCl,296.84,2315/2/8,羟间唑啉（盐酸盐）,白色固体,4.0 - 6.5 在 50 g/l 在 20 °C,300-303 ℃,None,None,None,None,None,None,None,None,None,None,None,None,None,None,合适的条件下很稳定
785,镰刀菌酮X,C17H22O8,None,23255-69-8,镰刀菌酮X,固体,None,181-184 ℃,None,None,None,None,None,None,None,None,None,None,None,None,None,None,合适的条件下很稳定
786,5-硝基苯并三唑,None,None,2338/12/7,None,淡黄色针状结晶粉末。,None,216～218,None,None,None,None,None,None,None,无意义,None,None,None,None,不溶于水。,用于有机合成。,None
787,高锰酸锌,None,None,23414-72-4,None,紫褐色至黑色易潮解的结晶。,None,None,None,2.47(水=1),None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,溶于水、酸。,用作氧化剂、防腐剂。,None
788,氯甲基三甲硅烷,C4H11CISi,122.67,2344-80-1,氯甲基三甲硅烷,无色液体。,None,None,98~99,0.8790(水=1),None,3.325(20℃)(kPa),None,None,None,-2,None,None,None,None,溶于部分有机溶剂。,用于有机合成。,None
789,氟乙酸钾,None,None,23745-86-0,None,固体。,None,None,None,None,None,None,None,None,None,无意义,None,None,None,None,溶于水，不溶于多数有机溶剂。,None,None
790,灭蚁灵[含量>60%],None,None,2385-85-5,None,白色无味结晶。,None,None,485(分解),None,18.8(空气=1),None,None,None,None,无意义,None,None,None,None,不溶于水，溶于苯、二噁烷、二甲苯、四氯化碳。,用作杀蚁剂。,None
791,3-溴丙腈,None,None,2417-90-5,None,无色或淡黄色液体。,None,None,92(3.33kPa),1.62(水=1),None,3.33(92℃)(kPa),None,None,None,97,None,None,None,None,可混溶于醇、醚。,用于有机合成。,None
792,"2,5-双（1-吖丙啶基）-3-（2-氨甲酰氧-1-甲氧乙基）-6-甲基-1,4-苯醌",C15H19N3O5,321.37,24279-91-2,"2,5-双（1-吖丙啶基）-3-（2-氨甲酰氧-1-甲氧乙基）-6-甲基-1,4-苯醌",None,None,None,532.3°Cat760mmHg,1.487g/cm3(水=1),None,2.07E-11mmHg at 25°C(kPa),None,None,None,275.7°C,None,None,None,None,None,None,None
793,氯甲酸-2-乙基己酯,None,None,24468-13-1,None,无色液体。,None,None,106~107(4kPa),0.981(水=1),None,0.133(45℃)(kPa),None,None,None,73,None,None,None,None,溶于乙醚。,用于有机合成。,None
794,"1,2-二甲基环戊烷",C7H14,98.19,2452-99-5,"1,2-二甲基环戊烷",无色液体,无资料,(顺)-62; (反)-120,(顺)99.5; (反)91.8,(顺)0.77; (反)0.75(水=1),无资料(空气=1),None,None,无资料,3.52,21,无资料,None,无资料,无资料,不溶于水，可混溶于多数有机溶剂,用于有机合成,稳定
795,异氰酸对溴苯酯,C7H4BrNO,198.03,2493/2/9,None,白色针状结晶,None,42～44,158（1.87 kPa）,None,None,None,None,None,None,109,None,None,None,None,易溶于乙醚,用作有机合成中间体,None
796,氯甲磷[含量>15%],None,None,24934-91-6,None,无色液体。,None,None,81~85(0.0133kPa),1.260(水=1),None,7.45×10-4(30℃)(kPa),None,None,None,None,None,None,None,None,微溶于水，易溶于多数有机溶剂。,用作农用杀虫剂。,None
797,1，2-二溴-3-丁酮,C4H6Br2O,229.91,25109-57-3,None,液体,None,None,80（0.13kPa）,1.97（15℃）(水=1),8.0(空气=1),None,None,None,None,None,None,None,None,None,None,用于有机合成,None
798,二[1-(叔-丁基过氧)-1-甲基乙基]苯,C20H34O4,338.54,25155-25-3,Bis[1-(tert-butylperoxy)-1-methylethyl]benzene,None,None,44-48,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No data.
799,环丙基甲醇,None,None,2516-33-8,None,无色液体。,None,-60,123~124(98.4kPa),0.8900(水=1),None,None,None,None,None,35,None,None,None,None,不溶于水，可混溶于醇、醚。,用作分析试剂。,None
800,二甲基硫代磷酰氯,None,None,2524-03-0,None,无色或微黄色液体，有令人窒息的刺激性气味。,None,None,66/2.13kPa,1.33(水=1),None,0.32/40℃(kPa),None,None,None,105,None,None,None,None,不溶于水，溶于苯、氯仿、乙醚等多数有机溶剂。,用于合成有机磷杀虫剂。,None
801,二乙基硫代磷酰氯,None,None,2524/4/1,None,无色透明液体。,None,-75,85/1.33kPa,1.20(水=1),None,0.68/70℃(kPa),None,None,None,110,None,None,None,None,不溶于水，易溶于苯、乙醚、脂肪等多数有机溶剂。,用于合成农药。,None
802,磷化锡,None,None,25324-56-5,None,灰色硬质固体，有金属光泽。,None,None,None,None,None,None,无意义,无意义,None,无意义,None,None,None,None,溶于酸。,用于制造磷青铜。,None
803,六氟化硫,SF6,146.06,2551-62-4,六氟化硫,无色无味气体,无意义,-51,-64(升华),1.67(-100℃)(水=1),6.602(空气=1),2450(25℃)(kPa),45.6,3.76,1.68,无意义,无意义,None,无意义,无意义,微溶于水，溶于乙醇、乙醚,用作电子设备和雷达波导的气体绝缘体,稳定
804,二亚硝基苯,C6H4N2O2,136.12,25550-55-4,二亚硝基苯,棕色晶体,无意义,146.5,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,无资料,无资料,无资料,None,无资料,无资料,无资料,用于制造炸药,稳定
805,碘酸铅,Pb(IO3)2,557.06,25659-31-8,碘酸铅,白色粉末,无意义,300(分解),无资料,6.16(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,不溶于水，微溶于硝酸，不溶于氨水、乙醇,用于烟花配制及用作氧化剂,稳定
806,杜廷,C15H18O6,294.33,2571-22-4,杜廷,None,None,None,550.9°C at 760 mmHg,1.52g/cm3(水=1),None,1.96E-14mmHg at 25°C(kPa),None,None,None,212.6°C,None,None,None,None,None,None,None
807,"O,O-二乙基-S-(乙基亚砜基甲基)二硫代磷酸酯",C7H17O3PS3,276.38,2588/3/6,"O,O-二乙基-S-(乙基亚砜基甲基)二硫代磷酸酯",无色液体,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
808,吖啶,None,None,260-94-6,None,无色斜方片状或针状结晶，有辛辣气味。,None,110,346,None,None,1.33/184℃(kPa),None,None,None,None,None,None,None,None,微溶于热水，易溶于乙醇、乙醚、苯、二硫化碳等。,用于染料、药物的合成，如制备杀菌剂等。,None
809,氮化锂,None,None,26134-62-3,None,宝石红透明晶体或微粒。,None,840~850,None,1.28(水=1),None,None,无意义,无意义,None,无意义,None,None,None,None,不溶于多数有机溶剂。,用作渗氮剂，有机反应中的还原剂及无机反应中的氮气来源。,None
810,猛杀威粉剂[含量>15%],None,None,2631-37-0,None,无色无味的白色结晶。,None,87～88,117(1.33×10-3kPa),None,None,None,None,None,None,无意义,None,None,None,None,难溶于水，易溶于多数有机溶剂。,用作农用杀虫剂。,None
811,益棉磷[含量>25%],None,None,2642-71-9,None,无色针状结晶。,None,53,111(0.133×10-3kPa),1.284(水=1),None,0.293 ×10-7(20℃)(kPa),None,None,None,无意义,None,None,None,None,不溶于水，溶于多数有机溶剂。,用作农用杀虫剂。,None
812,氯酸铜,None,None,26506-47-8,None,蓝色至绿色易潮解的结晶。,None,65,100(分解),None,None,None,无意义,无意义,None,无意义,无意义,无意义,无意义,无意义,易溶于水，溶于乙醇、丙酮。,用于染色、印花。,None
813,盐2-重氮基-1-萘酚-5-磺酸钠,C10H5N2O4S.Na,272.22,2657-00-3,2-Diazo-1-naphthol-5-sulfonic acid sodium salt,A white to light colored solid substance.,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No data.
814,氯苯基三氯硅烷,None,None,26571-79-9,None,无色至浅黄色液体，易水解。,None,None,230,1.439(25℃)(水=1),None,None,None,None,None,125(℃),None,None,None,None,溶于部分有机溶剂。,用于制有机硅聚合物等。,None
815,叠氮化钠,NaN3,65.02,26628-22-8,叠氮(化)钠,无色六角结晶性粉末,无意义,275(分解),无资料,1.85(水=1),2.2(空气=1),None,None,无资料,无资料,无意义,无意义,None,无资料,无资料,溶于水、液氨，不溶于乙醚，微溶于乙醇,用于制造炸药及用作分析试剂等,不稳定
816,"3,5-二异丙基苯过氧化氢",C12H18O2,194.3,26762-93-6,"3,5-Diisopropylbenzene hydroperoxide","Liquid; colorless to pale yellow; sharp, unpleasant odor.",None,<-9,263,0.956 g/cm3 (20 C)(水=1),None,None,None,None,4.31,None,None,None,None,None,None,Chemical intermediate for hydroquinone (para-isomer).,No data.
817,环四次甲基四硝胺[含水≥15%],None,None,2691-41-0,None,白色结晶粉末。,None,282,None,1.96(beta变体)(水=1),None,None,None,None,None,无意义,None,None,None,None,难溶于水，易溶于丙酮、乙酸乙酯、二甲基甲酰胺、环己酮。,用于导弹和反坦克弹的装药，也用于导爆管装药。,None
818,亚硝酰氯,NOCl,65.46,2696-92-6,亚硝酰氯,红褐色液体或黄色气体，具有刺鼻恶臭味，遇水和潮气分解,无意义,-64.5,-5.5,1.417(-12℃)(水=1),2.3(空气=1),10.1(-50℃)(kPa),167,9.36,0.1,无意义,无意义,None,无意义,无意义,溶于发烟硫酸,用于合成洗涤剂、触媒及用作中间体,稳定
819,硫酰氟,None,None,2699-79-8,None,无色、无臭气体。,None,-137,-55,1.7(液体)(水=1),3.5(空气=1),None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于乙醇、苯、四氯化碳。,用作分析试剂、药品、染料、杀虫剂及熏蒸剂的成分。,None
820,氧茚,None,None,271-89-6,None,无色油状液体，具有芳香味。,None,<-18,173~175,1.0720(水=1),None,None,None,None,None,50,None,None,None,None,不溶于水，可混溶于苯、石油醚、乙醇、醚。,用于古马隆一茚树脂的制造。,None
821,二氯苯基三氯硅烷,None,None,27137-85-5,None,稻草色液体。,None,None,260,1.562(水=1),None,None,None,None,None,141,None,None,None,None,溶于水、过氯乙烯。,用于有机合成。,None
822,亚砷酸钙,Ca3(AsO3)2,366.07,27152-57-4,亚砷酸钙,白色粉末,无意义,分解,无资料,3.031(水=1),无资料(空气=1),None,None,无意义,无资料,无意义,无意义,None,无意义,无意义,微溶于水，溶于酸,用作杀虫剂、杀菌剂、杀软体动物药,稳定
823,辛基苯酚,C14H22O,206.36,27193-28-8,辛基苯酚,白色片状固体。,None,83.5~84.0,276,0.889(120℃ )(水=1),None,None,None,None,None,138,None,None,None,None,不溶于水，溶于多数有机溶剂。,用于制造油溶性苯酚树脂和表面活性剂等。,None
824,二异辛基磷酸,None,None,27215-10-7,None,无色透明较粘稠液体。,None,-60,None,0.973(25℃)(水=1),None,None,None,None,None,196,None,None,None,None,不溶于水，溶于乙醇、甲苯、己烷。,用作有机溶剂，萃取剂，有机合成中间体。,None
825,"2,6-二甲基-3-庚烯",None,None,2738-18-3,None,无色液体。,None,None,128.5-129,0.72(15.5℃)(水=1),4.38(空气=1),3.79(38℃)(kPa),None,None,None,15.4,None,None,None,None,不溶于水。,None,None
826,丙二酸铊,None,None,2757-18-8,None,结晶，在空气中易潮解。,None,None,None,None,None,None,None,None,None,无意义,None,None,None,None,与水混溶。,配制克里立斯重液。,None
827,氧代硫酸钒,O5SV,162.99,27774-13-6,Vanadium oxysulfate,A blue crystalline solid.,None,None,None,3.0 g/cm3 (20 C)(水=1),None,None,None,None,None,None,None,None,None,None,Soluble,"Mordant in dyeing & printing textiles, manufacture of colored glass, for blue & green glazes on pottery vanadyl sulfate dihydrate.",Stable at room temperature in closed containers under normal storage and handling conditions.
828,二氯(均)三嗪三酮,C3HCI2N3O3,198.98,2782-57-2,二氯(均)三嗪三酮,白色结晶，具有强烈氯气味。,None,225,None,None,None,None,None,None,None,无意义,无意义,无意义,无意义,无意义,溶于水。,用作强氧化剂，强氯化剂。,None
829,2-辛炔,C8H14,110.22,2809-67-8,2-辛炔,无色液体,无资料,-60.2,137.2,0.76(水=1),无资料(空气=1),None,None,无资料,3.55,无资料,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚,用于有机合成,稳定
830,氧化环己烯,None,None,286-20-4,None,无色透明液体，具有强烈气味。,None,-40,130~131,0.9700(水=1),3.5(空气=1),None,None,None,None,27.2,373,None,1.15,12.36,不溶于水，溶于乙醇、丙酮、乙醚。,用作合成农药、医药、香料、染料的原料。,None
831,甲基丙烯酸二甲基氨基乙酯,None,None,2867-47-2,None,无色液体，具有催泪性气味。,None,<-60,182~190,0.933(25℃)(水=1),5.4(空气=1),None,None,None,None,73.9(℃),None,None,None,None,溶于水、多数有机溶剂。,用于制造涂料、纤维处理剂、橡胶增强剂、稳定剂、润滑油添加剂、粘接剂、纸加工剂及离子交换树脂。,None
832,环戊烷,C5H10,70.1,287-92-3,环戊烷,无色透明液体，有苯样的气味,无资料,-94,49.2,0.75(水=1),2.42(空气=1),45(20℃)(kPa),238.6,4.52,3,-37(闭杯),361,-3287.8,1.1,8.7,不溶于水，溶于乙醇、乙醚、苯、四氯化碳、丙酮等多数有机溶剂,用作溶剂和色谱分析的标准物质,稳定
833,溴敌隆,None,None,28772-56-7,None,原药为黄色粉末。,None,200～210,None,None,None,None,None,None,None,无意义,None,None,None,None,溶于水、乙醇、乙酸乙酯、二甲基甲酰胺。,用作杀鼠剂。,None
834,六硝基二苯硫[干的或含水<10%],None,None,28930-30-5,None,金黄色片状结晶。,None,226,None,None,None,None,None,None,None,无意义,None,None,None,None,不溶于水。,用作炸药。,None
835,四硝基萘,None,None,28995-89-3,None,黄色结晶。,None,200,(爆炸),None,None,None,None,None,None,无意义,None,None,None,None,不溶于水，微溶于醇。,用作炸药。,None
836,环庚烷,C7H14,98.19,291-64-5,环庚烷,无色透明液体,无资料,-12,118.5,0.81(水=1),3.39(空气=1),2.88(25℃)(kPa),None,3.8,4,6.11,155,None,1.1,7.1,不溶于水，溶于乙醇、乙醚、苯,用于有机合成，用作溶剂、实验室试剂,稳定
837,环辛烷,C8H16,112.2,292-64-8,环辛烷,无色液体或潮湿的白色固体，有类似樟脑的气味,无资料,14.7,149～151,0.834(水=1),无资料(空气=1),2.13(37.7℃)(kPa),None,3.55,4.45,27,157,None,0.95,6,不溶于水，溶于苯,用作有机合成中间体，也用作化学试剂,稳定
838,氯甲酸烯丙(基)酯[含有稳定剂],None,None,2937-50-0,None,无色液体，有强刺激性。,None,-80,106~114,1.145(水=1),4.2(空气=1),2.66(25℃)(kPa),None,None,None,31,None,None,None,None,不溶于水，溶于醚、苯、氯仿。,用于有机合成。,None
839,硫代氯甲酸乙酯,None,None,2941-64-2,None,无色液体，带有刺激性气味。,None,None,132,1.195(水=1),None,None,None,None,None,29,None,None,None,None,不溶于水。,None,None
840,碳氯灵[含量>1%],None,None,297-78-9,None,纯品为白色结晶，工业品为奶油色结晶固体。,None,120～122,None,1.79~1.90(水=1),None,None,None,None,None,无意义,None,None,None,None,不溶于水，溶于二甲苯、乙醇、石油醚，易溶于苯、乙酸乙酯、丙酮等。,用作农用杀虫剂及农药分析标准样品。,None
841,治线磷[含量>5%],None,None,297-97-2,None,琥珀色液体。,None,-1.7,80,1.207(25℃)(水=1),None,4.39×10-4(30℃)(kPa),None,None,None,None,None,None,None,None,微溶于水，可混溶于多数有机溶剂。,农用杀虫剂、杀线虫剂。,None
842,甲基对硫磷,C8H10NO5PS,263.23,298-00-0,甲基对硫磷,无色结晶粉末，工业品为棕色或黄色液体或固体,无意义,35,154(0.136kPa),1.36(水=1),9.1(空气=1),None,None,无资料,2.86,无资料,120,None,无资料,无资料,微溶于水，溶于乙醇、氯仿，易溶于芳烃,用作杀虫剂,稳定
843,甲拌磷,C7H17O2PS3,260.39,298-02-2,甲拌磷,纯品为无色透明，有蒜臭的油状液体，工业品为棕黄色,无资料,-43.7,118～120(0.11kPa),1.17(水=1),无资料(空气=1),None,None,无资料,3.56,160(开杯),无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚、丙酮、四氯化碳、二甲苯等多数有机溶剂,农业上用于棉花、甜菜、萝卜等浸种、拌种，不能用于喷洒,稳定
844,乙拌磷粉剂、可湿性粉剂,None,None,298-04-4,None,棕黄色油状液体，有特殊气味。,None,None,62(0.0013kPa),1.14(水=1),None,None,None,None,None,None,None,None,None,None,不溶于水。,用作杀虫剂。,None
845,二氧化丁二烯,C4H6O2,None,298-18-0,None,白色水样液体。,None,2月4日,138,0.96(水=1),None,0.52(20℃)(kPa),None,None,None,45,None,None,None,None,与水混溶。,"用作化学中间体、交联剂, 也用于制备丁四醇和药物。",None
846,"O,O-二乙基-O-(4-甲基香豆素基-7)硫代磷酸酯",C14H17O5PS,None,299-45-6,None,无色结晶，有轻微芳香味。,None,38,210(0.133kPa),1.260(38/4℃)(水=1),None,None,None,None,None,无意义,None,None,None,None,溶于部分有机溶剂。,用作杀虫剂。,None
847,溴乙酸异丙酯,None,None,29921-57-1,None,无色液体。,None,None,59~61(1.33kPa),1.399(15/4℃ )(水=1),None,None,None,None,None,>110,None,None,None,None,不溶于水。,用于有机合成。,None
848,异氰(基)乙酸乙酯,None,None,2999-46-4,None,浅黄色液体。,None,None,194~196,1.03(水=1),None,0.13/67.8℃(kPa),None,None,None,84,None,None,None,None,微溶于水、碱液，可混溶于乙醇、乙醚。,用于有机合成。,None
849,二甲基镁,None,None,2999-74-8,None,无色固体。,None,None,None,None,None,None,None,None,None,无意义,None,None,None,None,微溶于乙醚。,用于有机合成。,None
850,二溴磷,C4H7Br2Cl2O4P,380.8,300-76-5,二溴磷,白色结晶固体或无色黏稠油状液体，微有臭味,无资料,26.5～27.5,110(0.066kPa),1.96(水=1),无资料(空气=1),0.066(110℃)(kPa),None,无资料,1.38,>61,无资料,None,无资料,无资料,不溶于水，易溶于芳烃，不溶于脂肪,为残效期短的杀虫剂和杀螨剂,稳定
851,"2-乙基-己过氧酸 1,1-二甲基乙基酯",C12H24O3,216.32,3006-82-4,"2-Ethyl-hexaneperoxoic acid 1,1-dimethylethyl ester",Colorless liquid with a sweet odor.,None,83,265,0.891 g/cm3 (20 C)(水=1),None,3.4(kPa),None,None,2.85,None,None,None,None,None,Insoluble.,None,No data.
852,三甾氧杂 22,C14H28O4,260.37,3006-86-8,Trigonox 22,Combustible liquid. Values are for an 80% solution in mineral spirits.,None,99,52 - 54 (0.1 torr),0.95 g/cm3 (20 C)(水=1),None,0.0071 (25 C)(kPa),None,None,5.39,68,None,49.7 kJ/mol,None,None,Insoluble,None,No data.
853,辛酸亚锡,None,None,301-10-0,None,白色或黄色膏状物。,None,None,None,1.251(水=1),None,None,None,None,None,>110,None,None,None,None,不溶于水，溶于石油醚。,用于有机合成。,None
854,硫氰酸苄,None,None,3012-37-1,None,橙红色结晶固体，有特殊刺激性气味。,None,41～42,230~235,1.125(水=1),None,None,None,None,None,>110,None,None,None,None,不溶于水，溶于乙醇、乙醚。,用作杀虫剂。,None
855,1-氯-2-溴丙烷,None,None,3017-95-6,None,无色液体。,None,None,118(100.5kPa),1.537(水=1),None,None,None,None,None,>110,None,None,None,None,不溶于水，溶于丙酮、苯，易溶于乙醇、乙醚、氯仿。,用于有机合成。,None
856,二氯乙腈,C2HCl2N,109.94,3018-12-0,二氯乙腈,无色液体,无资料,无资料,110～112,1.37(水=1),3.8(空气=1),None,None,无资料,0.29,35.56,无资料,None,无资料,无资料,可混溶于乙醇、乙醚、甲醇,用于有机合成，也用作溶剂,稳定
857,无水肼,H4N2,32.1,302-01-2,无水肼,无色油状发烟液体，有吸湿性，有氨的臭味,无资料,2,113.5,1.01(水=1),1.1(空气=1),1.4(20℃)(kPa),380,14.7,-2.07,38(闭杯); 52.2(开杯),270(玻璃表面),-622.1,2.9,100,与水混溶，混溶于醇类，不溶于氯仿、乙醚,制发泡剂、农作物杀虫剂和水处理剂,不稳定
858,乌头碱,C34H47NO11,645.74 g/mol,302-27-2,乌头碱,None,None,200 - 205 °C - 分解,None,None,None,None,None,None,2.011,None,None,None,None,None,None,None,None
859,"六氟-2,3-二氯2-丁烯",C4Cl2F6,None,303-04-8,None,无色液体。,None,None,66,1.61(水=1),8.0(空气=1),101.08(66℃)(kPa),None,None,None,无意义,无意义,无意义,无意义,无意义,None,None,None
860,2-硝基苯肼,C6H7N3O2,153.16,3034-19-3,2-硝基苯肼,橘红色粉末,无意义,90～92,无资料,无资料(水=1),无资料(空气=1),None,None,无资料,无资料,无意义,无资料,None,无资料,无资料,微溶于水，溶于乙醇、乙醚,用于有机合成,稳定
861,多聚甲醛,"(HCHO)n,n=8～100",(30.03)n,30525-89-4,None,白色固体或无定型粉末，微有甲醛气味，系甲醛的线型聚合物，能溶于稀酸及稀碱中，微溶于冷水，不溶于醇和醚。$$相对密度(水=1)：1.39，熔点：120～160℃；闪点：70℃；自燃点：300℃；蒸气压：193.32Pa（25）℃。$$为强还原剂，易燃烧，燃烧时火焰上端为黄色，下端为蓝色，遇高热、明火或氧化剂接触，能引起燃烧。,None,120～160℃,None,(水=1)：1.39(水=1),None,193.32Pa（25）℃(kPa),None,None,None,70℃,300℃,None,None,None,None,主要用于制造树脂、医药等。也用作杀菌剂。,None
862,"3,3-二乙氧基丙烯",None,None,3054-95-3,None,无色液体。,None,None,125,0.85(水=1),None,None,None,None,None,4,None,None,None,None,不溶于水。,用于有机合成。,None
863,甲基狄戈辛,C42H66O14,794.97,30685-43-9,甲基狄戈辛,"白色结晶性粉末, 无臭",None,227-231℃,None,None,None,None,None,None,None,None,None,None,None,None,"微溶于乙醇、氯仿, 不溶于水",None,合适的条件下很稳定
864,None,C8F18O2S,502.12,307-35-7,FX-8,Colorless liquid.,None,-1,154-155,1.824 g/cm3 (20 C)(水=1),None,<20 (20 C)(kPa),None,None,None,-1,None,None,None,None,Reacts,None,No data.
865,钛酸(四)乙酯,C8H20O4Ti,228.15,3087-36-3,钛酸(四)乙酯,无色到浅黄色油状黏稠液体,无资料,0,150～152(1.33kPa),1.1(水=1),无资料(空气=1),0.67(134℃)(kPa),None,无资料,无资料,28.89,无资料,None,无资料,无资料,可混溶于乙醚、苯,用于酯交换反应，并用于增强橡胶和塑料在金属表面的黏附性,稳定
866,钛酸(四)正丙酯,C12H28O4Ti,284.23,3087-37-4,钛酸(四)正丙酯,淡黄色油状黏性液体，在空气中迅速吸潮而分解,无资料,无资料,170(0.4kPa),1.03(水=1),无资料(空气=1),None,None,无资料,无资料,42.78,无资料,None,无资料,无资料,溶于多数有机溶剂,用于有机合成,稳定
867,艾氏剂[含量>75%],None,None,309-00-2,None,纯品为白色无臭结晶，工业品为暗棕色固体。,None,104,None,None,None,None,None,None,None,65,None,None,None,None,不溶于水，溶于乙醇、苯、丙酮等多数有机溶剂。,用作杀虫剂。,None
868,"O,O-二乙基-O-(4-硝基苯基)磷酸酯",C10H14NO6P,275.2,311-45-5,"O,O-二乙基-O-(4-硝基苯基)磷酸酯",有粘性的液体,None,None,bp1.0169～170℃／133.32Pa,1.274 g/cm3 在 25 °C(水=1),None,None,None,None,1.88 (calc),None,None,None,None,None,易溶乙醚及其他有机溶剂，微溶于水（25℃，2400μg／mL）,None,None
869,环氧溴丙烷,C3H5BrO,136.9,3132-64-7,环氧溴丙烷,无色或淡黄色透明液体，易挥发,无资料,-40,134～136,1.60(水=1),无资料(空气=1),None,None,无资料,0.85,56,无资料,None,无资料,无资料,不溶于水，溶于热乙醇、乙醚、苯、氯仿,用作纤维素溶剂、中间体等,稳定
870,4-氯正丁酸乙酯,C6H11ClO2,150.61,3153-36-4,4-氯正丁酸乙酯,无色液体，有催泪性,无资料,-70,186,1.08(水=1),4.51(空气=1),None,None,无资料,2.1,51.7,无资料,None,无资料,无资料,不溶于水，溶于乙醇、乙醚、丙酮,用于有机合成,稳定
871,盐酸-4-氯-2-甲苯胺,None,None,3165-93-3,None,白色或灰白色粉末。,None,265～267,None,None,None,None,None,None,None,无意义,None,None,None,None,溶于水。,用作显色剂，并用于染料制造。,None
872,叔丁基环己烷,None,None,3178-22-1,None,无色液体。,None,-41,171.5,0.8127(水=1),None,None,None,None,None,1,None,None,None,None,微溶于水。,试剂用作色谱分析对比样品。,None
873,"N,N-二甲基丙醇胺",C5H13NO,103.18,3179-63-3,"N,N-二甲基丙醇胺",无色透明或琥珀色挥发性液体,无资料,-35,163～164,0.85(25℃)(水=1),3.52(空气=1),None,None,无资料,-0.44,36.11,235,None,0.9,11.2,溶于水,用于有机合成,稳定
874,"1-羟环丁-1-烯-3,4-二酮",C4H2O3,98.06,31876-38-7,"1-羟环丁-1-烯-3,4-二酮",None,None,163 ℃,345–355° C (dec),None,None,None,None,None,None,None,None,None,None,None,可溶于水、醇,None,None
875,氯甲基乙醚,C3H7ClO,94.54,3188-13-4,氯甲基乙醚,无色液体,无资料,无资料,82,1.02(水=1),无资料(空气=1),None,None,无资料,0.81,<-19,无资料,None,无资料,无资料,溶于多数有机溶剂,用于有机合成,稳定
876,三光气,C3Cl6O3,296.75,32315-10-9,Triphosgene,Colorless crystals.,None,77 - 81,203,1.6290 g/cm3 (80C)(水=1),None,0.26 (25 C)(kPa),None,None,5.74,53,None,53.3 kJ/mol,None,None,Insoluble,Organic systhesis - staudinger reaction.,Stable under normal temperatures and pressures. May decompose on exposure to moist air or water.
877,二甲基-4-(甲基硫代)苯基磷酸酯,C9H13O4PS,248.23,3254-63-5,二甲基-4-(甲基硫代)苯基磷酸酯,无色液体,None,None,300.9°C,1.25g/cm3(水=1),None,None,None,None,None,135.8°C,None,None,None,None,在室温下的溶解度：98mg/L(水)；890 g/L(丙酮)；540 g / L(二氧六环)；580 g/L(四氯化碳)；860 g / L(乙醇)；超过1kg/L(二甲苯),None,None
