,CAS,储存注意事项
7943,590-73-8,采用防爆型照明、通风设施
7944,590-73-8,禁止使用易产生火花的机械设备和工具
7945,590-73-8,储区应备有泄漏应急处理设备和合适的收容材料
7946,590-86-3,储存于阴凉、通风的库房
7947,590-86-3,远离火种、热源
7948,590-86-3,库温不宜超过37℃
7949,590-86-3,包装要求密封，不可与空气接触
7950,590-86-3,应与氧化剂、还原剂、碱类等分开存放，切忌混储
7951,590-86-3,采用防爆型照明、通风设施
7952,590-86-3,禁止使用易产生火花的机械设备和工具
7953,590-86-3,储区应备有泄漏应急处理设备和合适的收容材料
7954,590-92-1,储存于阴凉、通风的库房
7955,590-92-1,远离火种、热源
7956,590-92-1,应与氧化剂、还原剂、碱类分开存放，切忌混储
7957,590-92-1,配备相应品种和数量的消防器材
7958,590-92-1,储区应备有合适的材料收容泄漏物
7959,591-17-3,储存于阴凉、通风的库房
7960,591-17-3,远离火种、热源
7961,591-17-3,防止阳光直射
7962,591-17-3,保持容器密封
7963,591-17-3,应与氧化剂分开存放，切忌混储
7964,591-17-3,配备相应品种和数量的消防器材
7965,591-17-3,储区应备有泄漏应急处理设备和合适的收容材料
7966,591-19-5,储存于阴凉、通风仓间内；远离火种、热源；专人保管；保持容器密封；避光保存；应与氧化剂、酸类、食用化工原料分开存放；操作现场不得吸烟、饮水、进食；搬运时要轻装、轻卸，防止包装及容器损坏；分装和搬运作业要注意个人防护
7967,591-20-8,储存于阴凉、通风的库房
7968,591-20-8,远离火种、热源
7969,591-20-8,防止阳光直射
7970,591-20-8,包装密封
7971,591-20-8,应与氧化剂、酸酐、酰基氯、食用化学品分开存放，切忌混储
7972,591-20-8,配备相应品种和数量的消防器材
7973,591-20-8,储区应备有合适的材料收容泄漏物
7974,591-22-0,储存于阴凉、通风的库房
7975,591-22-0,库温不宜超过37℃
7976,591-22-0,远离火种、热源
7977,591-22-0,保持容器密封，严禁与空气接触
7978,591-22-0,应与氧化剂、酸类等分开存放，切忌混储
7979,591-22-0,采用防爆型照明、通风设施
7980,591-22-0,禁止使用易产生火花的机械设备和工具
7981,591-22-0,储区应备有泄漏应急处理设备和合适的收容材料
7982,591-27-5,储存于阴凉、通风的库房
7983,591-27-5,远离火种、热源
7984,591-27-5,包装密封
7985,591-27-5,应与氧化剂、酸类、食用化学品分开存放，切忌混储
7986,591-27-5,配备相应品种和数量的消防器材
7987,591-27-5,储区应备有合适的材料收容泄漏物
7988,591-47-9,储存于阴凉、通风的库房
7989,591-47-9,远离火种、热源
7990,591-47-9,防止阳光直射
7991,591-47-9,库温不宜超过30℃
7992,591-47-9,保持容器密封，严禁与空气接触
7993,591-47-9,应与氧化剂、食用化学品分开存放，切忌混储
7994,591-47-9,采用防爆型照明、通风设施
7995,591-47-9,禁止使用易产生火花的机械设备和工具
7996,591-47-9,储区应备有泄漏应急处理设备和合适的收容材料
7997,591-76-4,储存于阴凉、通风的库房
7998,591-76-4,远离火种、热源
7999,591-76-4,防止阳光直射
8000,591-76-4,库温不宜超过37℃
8001,591-76-4,保持容器密封
8002,591-76-4,应与氧化剂、食用化学品分开存放，切忌混储
8003,591-76-4,采用防爆型照明、通风设施
8004,591-76-4,禁止使用易产生火花的机械设备和工具
8005,591-76-4,储区应备有泄漏应急处理设备和合适的收容材料
8006,591-78-6,储存于阴凉、通风的库房
8007,591-78-6,远离火种、热源
8008,591-78-6,库温不宜超过30℃
8009,591-78-6,应与氧化剂、还原剂、碱类分开存放，切忌混储
8010,591-78-6,采用防爆型照明、通风设施
8011,591-78-6,禁止使用易产生火花的机械设备和工具
8012,591-78-6,储区应备有泄漏应急处理设备和合适的收容材料
8013,591-87-7,储存于阴凉、通风的库房
8014,591-87-7,远离火种、热源
8015,591-87-7,库温不宜超过30℃
8016,591-87-7,保持容器密封
8017,591-87-7,应与氧化剂、碱类、过氧化物、食用化学品分开存放，切忌混储
8018,591-87-7,采用防爆型照明、通风设施
8019,591-87-7,禁止使用易产生火花的机械设备和工具
8020,591-87-7,储区应备有泄漏应急处理设备和合适的收容材料
8021,591-89-9,储存于阴凉、干燥、通风良好的库房
8022,591-89-9,远离火种、热源
8023,591-89-9,防止阳光直射
8024,591-89-9,包装密封
8025,591-89-9,应与酸类、食用化学品分开存放，切忌混储
8026,591-89-9,储区应备有合适的材料收容泄漏物
8027,591-89-9,应严格执行极毒物品“五双”管理制度
8028,591-93-5,储存于阴凉、通风的易燃气体专用库房
8029,591-93-5,远离火种、热源
8030,591-93-5,库温不宜超过30℃
8031,591-93-5,应与氧化剂、酸类分开存放，切忌混储
8032,591-93-5,采用防爆型照明、通风设施
8033,591-93-5,禁止使用易产生火花的机械设备和工具
8034,591-93-5,储区应备有泄漏应急处理设备
8035,591-97-9,储存于阴凉、通风的库房
8036,591-97-9,远离火种、热源
8037,591-97-9,防止阳光直射
8038,591-97-9,库温不宜超过30℃
8039,591-97-9,保持容器密封，严禁与空气接触
8040,591-97-9,应与氧化剂、碱类分开存放，切忌混储
8041,591-97-9,采用防爆型照明、通风设施
8042,591-97-9,禁止使用易产生火花的机械设备和工具
8043,591-97-9,储区应备有泄漏应急处理设备和合适的收容材料
8044,592-01-8,储存于阴凉、通风良好的专用库房内
8045,592-01-8,实行“双人收发、双人保管”制度
8046,592-01-8,远离火种、热源
8047,592-01-8,包装密封
8048,592-01-8,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8049,592-01-8,储区应备有合适的材料收容泄漏物
8050,592-04-1,储存于阴凉、通风良好的专用库房内
8051,592-04-1,实行“双人收发、双人保管”制度
8052,592-04-1,远离火种、热源
8053,592-04-1,避免光照
8054,592-04-1,包装密封
8055,592-04-1,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8056,592-04-1,储区应备有合适的材料收容泄漏物
8057,592-05-2,储存于阴凉、干燥、通风良好的库房
8058,592-05-2,远离火种、热源
8059,592-05-2,防止阳光直射
8060,592-05-2,包装密封
8061,592-05-2,应与酸类、镁氯甲酸盐、亚硝酸钠、亚硝酸钾、食用化学品等分开存放，切忌混储
8062,592-05-2,储区应备有合适的材料收容泄漏物
8063,592-27-8,储存于阴凉、通风的库房
8064,592-27-8,远离火种、热源
8065,592-27-8,防止阳光直射
8066,592-27-8,库温不宜超过30℃
8067,592-27-8,保持容器密封
8068,592-27-8,应与氧化剂、食用化学品分开存放，切忌混储
8069,592-27-8,采用防爆型照明、通风设施
8070,592-27-8,禁止使用易产生火花的机械设备和工具
8071,592-27-8,储区应备有泄漏应急处理设备和合适的收容材料
8072,592-34-7,储存于阴凉、干燥、通风良好的库房
8073,592-34-7,远离火种、热源
8074,592-34-7,库温不超过32℃，相对湿度不超过80%
8075,592-34-7,包装必须密封，切勿受潮
8076,592-34-7,应与氧化剂、酸类、碱类、胺类等分开存放，切忌混储
8077,592-34-7,采用防爆型照明、通风设施
8078,592-34-7,禁止使用易产生火花的机械设备和工具
8079,592-34-7,储区应备有泄漏应急处理设备和合适的收容材料
8080,592-41-6,储存于阴凉、通风的库房
8081,592-41-6,远离火种、热源
8082,592-41-6,库温不宜超过29℃
8083,592-41-6,包装要求密封，不可与空气接触
8084,592-41-6,应与氧化剂、酸类分开存放，切忌混储
8085,592-41-6,不宜大量储存或久存
8086,592-41-6,采用防爆型照明、通风设施
8087,592-41-6,禁止使用易产生火花的机械设备和工具
8088,592-41-6,储区应备有泄漏应急处理设备和合适的收容材料
8089,592-42-7,通常商品加有阻聚剂
8090,592-42-7,储存于阴凉、通风的库房
8091,592-42-7,远离火种、热源
8092,592-42-7,库温不宜超过29℃
8093,592-42-7,包装要求密封，不可与空气接触
8094,592-42-7,应与氧化剂、酸类分开存放，切忌混储
8095,592-42-7,不宜大量储存或久存
8096,592-42-7,采用防爆型照明、通风设施
8097,592-42-7,禁止使用易产生火花的机械设备和工具
8098,592-42-7,储区应备有泄漏应急处理设备和合适的收容材料
8099,592-43-8,储存于阴凉、通风的库房
8100,592-43-8,远离火种、热源
8101,592-43-8,库温不宜超过30℃
8102,592-43-8,保持容器密封
8103,592-43-8,应与氧化剂、酸类分开存放，切忌混储
8104,592-43-8,不宜大量储存或久存
8105,592-43-8,采用防爆型照明、通风设施
8106,592-43-8,禁止使用易产生火花的机械设备和工具
8107,592-43-8,储区应备有泄漏应急处理设备和合适的收容材料
8108,592-45-0,通常商品加有阻聚剂
8109,592-45-0,储存于阴凉、通风的库房
8110,592-45-0,远离火种、热源
8111,592-45-0,库温不宜超过29℃
8112,592-45-0,包装要求密封，不可与空气接触
8113,592-45-0,应与氧化剂、酸类分开存放，切忌混储
8114,592-45-0,不宜大量储存或久存
8115,592-45-0,采用防爆型照明、通风设施
8116,592-45-0,禁止使用易产生火花的机械设备和工具
8117,592-45-0,储区应备有泄漏应急处理设备和合适的收容材料
8118,592-46-1,通常商品加有阻聚剂
8119,592-46-1,储存于阴凉、通风的库房
8120,592-46-1,远离火种、热源
8121,592-46-1,防止阳光直射
8122,592-46-1,库温不宜超过25℃
8123,592-46-1,保持容器密封，严禁与空气接触
8124,592-46-1,应与氧化剂、食用化学品分开存放，切忌混储
8125,592-46-1,采用防爆型照明、通风设施
8126,592-46-1,禁止使用易产生火花的机械设备和工具
8127,592-46-1,储区应备有泄漏应急处理设备和合适的收容材料
8128,592-48-3,通常商品加有阻聚剂
8129,592-48-3,储存于阴凉、通风的库房
8130,592-48-3,远离火种、热源
8131,592-48-3,防止阳光直射
8132,592-48-3,库温不宜超过25℃
8133,592-48-3,保持容器密封，严禁与空气接触
8134,592-48-3,应与氧化剂、食用化学品分开存放，切忌混储
8135,592-48-3,采用防爆型照明、通风设施
8136,592-48-3,禁止使用易产生火花的机械设备和工具
8137,592-48-3,储区应备有泄漏应急处理设备和合适的收容材料
8138,592-55-2,储存于阴凉、通风的库房
8139,592-55-2,远离火种、热源
8140,592-55-2,库温不宜超过30℃
8141,592-55-2,包装要求密封，不可与空气接触
8142,592-55-2,应与氧化剂、酸类、碱类分开存放，切忌混储
8143,592-55-2,采用防爆型照明、通风设施
8144,592-55-2,禁止使用易产生火花的机械设备和工具
8145,592-55-2,储区应备有泄漏应急处理设备和合适的收容材料
8146,592-57-4,储存于阴凉、通风的库房
8147,592-57-4,远离火种、热源
8148,592-57-4,库温不宜超过37℃
8149,592-57-4,包装要求密封，不可与空气接触
8150,592-57-4,应与氧化剂、酸类分开存放，切忌混储
8151,592-57-4,不宜大量储存或久存
8152,592-57-4,采用防爆型照明、通风设施
8153,592-57-4,禁止使用易产生火花的机械设备和工具
8154,592-57-4,储区应备有泄漏应急处理设备和合适的收容材料
8155,592-76-7,储存于阴凉、通风的库房
8156,592-76-7,远离火种、热源
8157,592-76-7,库温不宜超过37℃
8158,592-76-7,包装要求密封，不可与空气接触
8159,592-76-7,应与氧化剂分开存放，切忌混储
8160,592-76-7,不宜大量储存或久存
8161,592-76-7,采用防爆型照明、通风设施
8162,592-76-7,禁止使用易产生火花的机械设备和工具
8163,592-76-7,储区应备有泄漏应急处理设备和合适的收容材料
8164,592-77-8,储存于阴凉、通风的库房
8165,592-77-8,远离火种、热源
8166,592-77-8,库温不宜超过37℃
8167,592-77-8,包装要求密封，不可与空气接触
8168,592-77-8,应与氧化剂分开存放，切忌混储
8169,592-77-8,采用防爆型照明、通风设施
8170,592-77-8,禁止使用易产生火花的机械设备和工具
8171,592-77-8,储区应备有泄漏应急处理设备和合适的收容材料
8172,592-78-9,储存于阴凉、通风的库房
8173,592-78-9,远离火种、热源
8174,592-78-9,库温不宜超过37℃
8175,592-78-9,包装要求密封，不可与空气接触
8176,592-78-9,应与氧化剂分开存放，切忌混储
8177,592-78-9,采用防爆型照明、通风设施
8178,592-78-9,禁止使用易产生火花的机械设备和工具
8179,592-78-9,储区应备有泄漏应急处理设备和合适的收容材料
8180,592-84-7,储存于阴凉、通风的库房
8181,592-84-7,远离火种、热源
8182,592-84-7,库温不宜超过37℃
8183,592-84-7,保持容器密封
8184,592-84-7,应与氧化剂、酸类、碱类分开存放，切忌混储
8185,592-84-7,采用防爆型照明、通风设施
8186,592-84-7,禁止使用易产生火花的机械设备和工具
8187,592-84-7,储区应备有泄漏应急处理设备和合适的收容材料
8188,592-85-8,储存于阴凉、通风的库房
8189,592-85-8,远离火种、热源
8190,592-85-8,防止阳光直射
8191,592-85-8,包装必须密封，切勿受潮
8192,592-85-8,应与酸类、食用化学品等分开存放，切忌混储
8193,592-85-8,储区应备有合适的材料收容泄漏物
8194,592-88-1,储存于阴凉、通风的库房
8195,592-88-1,远离火种、热源
8196,592-88-1,应与氧化剂、碱类分开存放，切忌混储
8197,592-88-1,不宜大量储存或久存
8198,592-88-1,采用防爆型照明、通风设施
8199,592-88-1,禁止使用易产生火花的机械设备和工具
8200,592-88-1,储区应备有泄漏应急处理设备和合适的收容材料
8201,593-53-3,储存于阴凉、通风的易燃气体专用库房
8202,593-53-3,库温不宜超过30℃
8203,593-53-3,远离火种、热源
8204,593-53-3,应与氧化剂分开存放，切忌混储
8205,593-53-3,采用防爆型照明、通风设施
8206,593-53-3,禁止使用易产生火花的机械设备和工具
8207,593-53-3,储区应备有泄漏应急处理设备
8208,593-60-2,储存于阴凉、通风的易燃气体专用库房
8209,593-60-2,远离火种、热源
8210,593-60-2,库温不宜超过30℃
8211,593-60-2,应与氧化剂、金属粉末等分开存放，切忌混储
8212,593-60-2,采用防爆型照明、通风设施
8213,593-60-2,禁止使用易产生火花的机械设备和工具
8214,593-60-2,储区应备有泄漏应急处理设备
8215,593-90-8,储存于阴凉、干燥、通风良好的库房
8216,593-90-8,远离火种、热源
8217,593-90-8,库温不超过25℃，相对湿度不超过75％
8218,593-90-8,保持容器密封
8219,593-90-8,应与氧化剂、卤素、食用化学品分开存放，切忌混储
8220,593-90-8,采用防爆型照明、通风设施
8221,593-90-8,禁止使用易产生火花的机械设备和工具
8222,593-90-8,储区应备有泄漏应急处理设备
8223,594-36-5,储存于阴凉、通风的库房
8224,594-36-5,远离火种、热源
8225,594-36-5,防止阳光直射
8226,594-36-5,库温不宜超过30℃
8227,594-36-5,保持容器密封
8228,594-36-5,应与氧化剂、碱类、食用化学品分开存放，切忌混储
8229,594-36-5,采用防爆型照明、通风设施
8230,594-36-5,禁止使用易产生火花的机械设备和工具
8231,594-36-5,储区应备有泄漏应急处理设备和合适的收容材料
8232,594-42-3,储存于阴凉、干燥、通风良好的库房
8233,594-42-3,远离火种、热源
8234,594-42-3,保持容器密封
8235,594-42-3,应与氧化剂、碱类、食用化学品分开存放，切忌混储
8236,594-42-3,储区应备有泄漏应急处理设备和合适的收容材料
8237,594-68-3,储存于阴凉、通风的库房
8238,594-68-3,远离火种、热源
8239,594-68-3,保持容器密封
8240,594-68-3,应与氧化剂、碱类、食用化学品分开存放，切忌混储
8241,594-68-3,储区应备有合适的材料收容泄漏物
8242,594-72-9,储存于阴凉、通风的库房
8243,594-72-9,远离火种、热源
8244,594-72-9,应与氧化剂、还原剂、食用化学品分开存放，切忌混储
8245,594-72-9,配备相应品种和数量的消防器材
8246,594-72-9,储区应备有泄漏应急处理设备和合适的收容材料
8247,594-82-1,与2，2-二硝基丙烷(41530)同
8248,594-82-1,{应储于阴凉、通风、干燥的库房内，门窗开关灵活，通风畅，玻璃涂白防止日光直晒，库温在32℃以下，相对湿度80％以下，库房照明和排风设备应使用防爆、封闭式电器，严禁明火照明，与氧化剂、酸类等不同性质的物品分库存放
8249,594-82-1,}
8250,595-90-4,储存于阴凉、通风的库房
8251,595-90-4,远离火种、热源
8252,595-90-4,防止阳光直射
8253,595-90-4,包装密封
8254,595-90-4,应与氧化剂、碱类、食用化学品分开存放，切忌混储
8255,595-90-4,配备相应品种和数量的消防器材
8256,595-90-4,储区应备有合适的材料收容泄漏物
8257,598-14-1,储存于阴凉、干燥、通风良好的库房
8258,598-14-1,远离火种、热源
8259,598-14-1,防止阳光直射
8260,598-14-1,保持容器密封
8261,598-14-1,应与氧化剂、酸类、食用化学品等分开存放，切忌混储
8262,598-14-1,配备相应品种和数量的消防器材
8263,598-14-1,储区应备有泄漏应急处理设备和合适的收容材料
8264,598-16-3,储存于阴凉、通风的库房
8265,598-16-3,远离火种、热源
8266,598-16-3,包装要求密封，不可与空气接触
8267,598-16-3,应与氧化剂、活性金属粉末、食用化学品分开存放，切忌混储
8268,598-16-3,不宜大量储存或久存
8269,598-16-3,配备相应品种和数量的消防器材
8270,598-16-3,储区应备有泄漏应急处理设备和合适的收容材料
8271,598-21-0,储存于阴凉、通风良好的不燃材料的库房，密封，防潮，不可与水接触，远离容易起火的罚方，与氧化剂、碱类、醇类和含水物品隔离存放
8272,598-22-1,储存于阴凉、干燥、通风良好的库房
8273,598-22-1,远离火种、热源
8274,598-22-1,保持容器密封
8275,598-22-1,应与氧化剂、碱类、醇类等分开存放，切忌混储
8276,598-22-1,采用防爆型照明、通风设施
8277,598-22-1,禁止使用易产生火花的机械设备和工具
8278,598-22-1,储区应备有泄漏应急处理设备和合适的收容材料
8279,598-31-2,储存于阴凉、通风的库房
8280,598-31-2,远离火种、热源
8281,598-31-2,库温不超过35℃，相对湿度不超过85%
8282,598-31-2,保持容器密封
8283,598-31-2,应与氧化剂、食用化学品分开存放，切忌混储
8284,598-31-2,采用防爆型照明、通风设施
8285,598-31-2,禁止使用易产生火花的机械设备和工具
8286,598-31-2,储区应备有泄漏应急处理设备和合适的收容材料
8287,598-72-1,储存于阴凉、通风的库房
8288,598-72-1,远离火种、热源
8289,598-72-1,包装密封
8290,598-72-1,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
8291,598-72-1,配备相应品种和数量的消防器材
8292,598-72-1,储区应备有泄漏应急处理设备和合适的收容材料
8293,598-73-2,储存于通风、低温的库房内
8294,598-73-2,储存温度 -30~-20℃
8295,598-73-2,远离火种、热源
8296,598-73-2,防止阳光直射
8297,598-73-2,保持容器密封，严禁与空气接触
8298,598-73-2,应与氧化剂、食用化学品分开存放，切忌混储
8299,598-73-2,采用防爆型照明、通风设施
8300,598-73-2,禁止使用易产生火花的机械设备和工具
8301,598-73-2,储区应备有泄漏应急处理设备
8302,598-75-4,储存于阴凉、通风的库房
8303,598-75-4,远离火种、热源
8304,598-75-4,防止阳光直射
8305,598-75-4,库温不宜超过30℃
8306,598-75-4,保持容器密封
8307,598-75-4,应与氧化剂、还原剂、食用化学品分开存放，切忌混储
8308,598-75-4,采用防爆型照明、通风设施
8309,598-75-4,禁止使用易产生火花的机械设备和工具
8310,598-75-4,储区应备有泄漏应急处理设备和合适的收容材料
8311,598-78-7,储存于阴凉、通风的库房
8312,598-78-7,远离火种、热源
8313,598-78-7,库温不宜超过30℃
8314,598-78-7,保持容器密封
8315,598-78-7,应与氧化剂、碱类分开存放，切忌混储
8316,598-78-7,配备相应品种和数量的消防器材
8317,598-78-7,储区应备有泄漏应急处理设备和合适的收容材料
8318,598-98-1,储存于阴凉、通风的库房
8319,598-98-1,远离火种、热源
8320,598-98-1,库温不宜超过30℃
8321,598-98-1,应与氧化剂、酸类、碱类分开存放，切忌混储
8322,598-98-1,采用防爆型照明、通风设施
8323,598-98-1,禁止使用易产生火花的机械设备和工具
8324,598-98-1,储区应备有泄漏应急处理设备和合适的收容材料
8325,598-99-2,储存于阴凉、通风的库房
8326,598-99-2,远离火种、热源
8327,598-99-2,防止阳光直射
8328,598-99-2,保持容器密封
8329,598-99-2,应与氧化剂、还原剂、碱类、酸类、食用化学品分开存放，切忌混储
8330,598-99-2,配备相应品种和数量的消防器材
8331,598-99-2,储区应备有泄漏应急处理设备和合适的收容材料
8332,60-24-2,储存于阴凉、通风的库房
8333,60-24-2,远离火种、热源
8334,60-24-2,防止阳光直射
8335,60-24-2,包装必须密封，切勿受潮
8336,60-24-2,应与氧化剂、碱类、食用化学品等分开存放，切忌混储
8337,60-24-2,配备相应品种和数量的消防器材
8338,60-24-2,储区应备有泄漏应急处理设备和合适的收容材料
8339,60-29-7,通常商品加有稳定剂
8340,60-29-7,储存于阴凉、通风的库房
8341,60-29-7,远离火种、热源
8342,60-29-7,库温不宜超过29℃
8343,60-29-7,包装要求密封，不可与空气接触
8344,60-29-7,应与氧化剂等分开存放，切忌混储
8345,60-29-7,不宜大量储存或久存
8346,60-29-7,采用防爆型照明、通风设施
8347,60-29-7,禁止使用易产生火花的机械设备和工具
8348,60-29-7,储区应备有泄漏应急处理设备和合适的收容材料
8349,60-34-4,储存于阴凉、通风良好的专用库房内，实行“双人收发、双人保管”制度
8350,60-34-4,远离火种、热源
8351,60-34-4,库温不宜超过37℃
8352,60-34-4,包装要求密封，不可与空气接触
8353,60-34-4,应与氧化剂、过氧化物、食用化学品分开存放，切忌混储
8354,60-34-4,采用防爆型照明、通风设施
8355,60-34-4,禁止使用易产生火花的机械设备和工具
8356,60-34-4,储区应备有泄漏应急处理设备和合适的收容材料
8357,60-57-1,储存于阴凉、通风良好的专用库房内，实行“双人收发、双人保管”制度
8358,60-57-1,远离火种、热源
8359,60-57-1,包装密封
8360,60-57-1,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8361,60-57-1,配备相应品种和数量的消防器材
8362,60-57-1,储区应备有合适的材料收容泄漏物
8363,600-00-0,储存于阴凉、通风的库房
8364,600-00-0,远离火种、热源
8365,600-00-0,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
8366,600-00-0,采用防爆型照明、通风设施
8367,600-00-0,禁止使用易产生火花的机械设备和工具
8368,600-00-0,储区应备有泄漏应急处理设备和合适的收容材料
8369,600-25-9,储存于阴凉、通风的库房
8370,600-25-9,远离火种、热源
8371,600-25-9,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8372,600-25-9,配备相应品种和数量的消防器材
8373,600-25-9,储区应备有泄漏应急处理设备和合适的收容材料
8374,602-87-9,储存于阴凉、通风的库房
8375,602-87-9,远离火种、热源
8376,602-87-9,应与氧化剂、还原剂分开存放，切忌混储
8377,602-87-9,采用防爆型照明、通风设施
8378,602-87-9,禁止使用易产生火花的机械设备和工具
8379,602-87-9,储区应备有合适的材料收容泄漏物
8380,602-99-3,储存于阴凉、干燥、通风的专用爆炸品库房
8381,602-99-3,远离火种、热源
8382,602-99-3,防止阳光直射
8383,602-99-3,库温不宜超过30℃
8384,602-99-3,包装密封
8385,602-99-3,应与氧化剂、碱类、还原剂、活性金属粉末、易（可）燃物、食用化学品分开存放，切忌混储
8386,602-99-3,配备相应品种和数量的消防器材
8387,602-99-3,储区应备有合适的材料收容泄漏物
8388,602-99-3,禁止震动、撞击和摩擦
8389,603-35-0,储存于阴凉、通风的库房
8390,603-35-0,远离火种、热源
8391,603-35-0,包装密封
8392,603-35-0,应与氧化剂、食用化学品分开存放，切忌混储
8393,603-35-0,配备相应品种和数量的消防器材
8394,603-35-0,储区应备有合适的材料收容泄漏物
8395,6032-29-7,储存于阴凉、通风的库房
8396,6032-29-7,远离火种、热源
8397,6032-29-7,库温不宜超过37℃
8398,6032-29-7,保持容器密封
8399,6032-29-7,应与氧化剂、酸类等分开存放，切忌混储
8400,6032-29-7,采用防爆型照明、通风设施
8401,6032-29-7,禁止使用易产生火花的机械设备和工具
8402,6032-29-7,储区应备有泄漏应急处理设备和合适的收容材料
8403,605-69-6,储存于阴凉、通风的库房
8404,605-69-6,远离火种、热源
8405,605-69-6,包装密封
8406,605-69-6,应与还原剂、酸类、食用化学品分开存放，切忌混储
8407,605-69-6,配备相应品种和数量的消防器材
8408,605-69-6,储区应备有合适的材料收容泄漏物
8409,605-71-0,应储存于阴凉、干燥、通风良好的库房内；严密封闭，门窗开关灵活，便于启闭
8410,605-71-0,"库库通风并有避光和防辐射措施；库内保持在30℃以下，相对湿度80％以下，库内有照明和排风设备，应使用防爆和封闭式电器，严禁用明火照明，可与其他硝基、二硝基等易燃固体化合物同库储存；不得与氧化剂、酸类、金属粉末、金属盐
类等不同性质的物品混存"
8411,606-20-2,储存于阴凉、通风的库房
8412,606-20-2,远离火种、热源
8413,606-20-2,库温不超过30℃，相对湿度不超过80％
8414,606-20-2,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
8415,606-20-2,采用防爆型照明、通风设施
8416,606-20-2,禁止使用易产生火花的机械设备和工具
8417,606-20-2,储区应备有合适的材料收容泄漏物
8418,606-22-4,储存于阴凉、通风的库房
8419,606-22-4,远离火种、热源
8420,606-22-4,包装密封
8421,606-22-4,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8422,606-22-4,配备相应品种和数量的消防器材
8423,606-22-4,储区应备有合适的材料收容泄漏物
8424,608-27-5,储存于阴凉、通风的库房
8425,608-27-5,远离火种、热源
8426,608-27-5,包装密封
8427,608-27-5,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8428,608-27-5,配备相应品种和数量的消防器材
8429,608-27-5,储区应备有合适的材料收容泄漏物
8430,608-31-1,储存于阴凉、通风的库房
8431,608-31-1,远离火种、热源
8432,608-31-1,包装密封
8433,608-31-1,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8434,608-31-1,配备相应品种和数量的消防器材
8435,608-31-1,储区应备有合适的材料收容泄漏物
8436,608-73-1,"Storage location should be close to laboratory where it is to be used, so that only small amounts need to be transported. Carcinogens should be kept in only one section of storage area, explosion-proof refrigerator or freezer as required. The area should be appropriately labeled. An inventory should be kept showing the quantity of carcinogen and date it was acquired. Facilities for dispensing should be contiguous to storage area."
8437,609-26-7,储存于阴凉、通风的库房
8438,609-26-7,远离火种、热源
8439,609-26-7,库温不宜超过30℃
8440,609-26-7,应与氧化剂、酸类分开存放，切忌混储
8441,609-26-7,采用防爆型照明、通风设施
8442,609-26-7,禁止使用易产生火花的机械设备和工具
8443,609-26-7,储区应备有泄漏应急处理设备和合适的收容材料
8444,609-73-4,储存于阴凉、通风的库房
8445,609-73-4,远离火种、热源
8446,609-73-4,包装密封
8447,609-73-4,应与氧化剂、还原剂、碱类、食用化学品分开存放，切忌混储
8448,609-73-4,配备相应品种和数量的消防器材
8449,609-73-4,储区应备有合适的材料收容泄漏物
8450,610-14-0,储存于阴凉、干燥、通风良好的库房
8451,610-14-0,远离火种、热源
8452,610-14-0,防止阳光直射
8453,610-14-0,保持容器密封
8454,610-14-0,应与氧化剂、碱类、食用化学品等分开存放，切忌混储
8455,610-14-0,配备相应品种和数量的消防器材
8456,610-14-0,储区应备有泄漏应急处理设备和合适的收容材料
8457,610-57-1,储存于阴凉、干燥、通风良好的库房内，门窗严密，且开关灵活
8458,610-57-1,通风畅，窗玻璃涂白以防日光直晒
8459,610-57-1,库温保持在30℃以，最高不超过32℃，相对湿度80％以下
8460,610-57-1,库房照明和排风设备，应使用防爆、封闭式电器，严禁用明火照明；与氧化剂、酸类等性质不同的物品分库储存
8461,610-67-3,储存于阴凉、通风的库房
8462,610-67-3,远离火种、热源
8463,610-67-3,保持容器密封
8464,610-67-3,应与氧化剂、还原剂、酸类、碱类、食用化学品分开存放，切忌混储
8465,610-67-3,配备相应品种和数量的消防器材
8466,610-67-3,储区应备有泄漏应急处理设备和合适的收容材料
8467,611-32-5,储存于阴凉、通风的库房
8468,611-32-5,远离火种、热源
8469,611-32-5,防止阳光直射
8470,611-32-5,保持容器密封
8471,611-32-5,应与氧化剂、酸类、食用化学品分开存放，切忌混储
8472,611-32-5,配备相应品种和数量的消防器材
8473,611-32-5,储区应备有泄漏应急处理设备和合适的收容材料
8474,6117-91-5,储存于阴凉、通风的库房
8475,6117-91-5,远离火种、热源
8476,6117-91-5,库温不宜超过30℃
8477,6117-91-5,应与氧化剂、还原剂、酸类、食用化学品分开存放，切忌混储
8478,6117-91-5,不宜大量储存或久存
8479,6117-91-5,采用防爆型照明、通风设施
8480,6117-91-5,禁止使用易产生火花的机械设备和工具
8481,6117-91-5,储区应备有泄漏应急处理设备和合适的收容材料
8482,612-22-6,储存于阴凉、通风的库房
